"","age","NHANES","total","HP","perc","neg","year","prev_obs","age_sq","fit_val","se_fit","upr","upr_scl","lwr","lwr_scl","model","type","FOI","fit_val_perc"
"1",0,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"Muench's Model","Prevalence",NA,0
"2",1,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0143756183750783,0.000439957671222572,0.0152555337175234,1.52555337175234,0.0134957030326331,1.34957030326331,"Muench's Model","Prevalence",NA,1.43756183750783
"3",2,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0285445783464906,0.000867266015279776,0.0302791103770502,3.02791103770502,0.026810046315931,2.68100463159311,"Muench's Model","Prevalence",NA,2.85445783464906
"4",3,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0425098507565821,0.00128219779502166,0.0450742463466254,4.50742463466254,0.0399454551665388,3.99454551665388,"Muench's Model","Prevalence",NA,4.25098507565821
"5",4,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0562743637400022,0.00168502054511875,0.0596444048302397,5.96444048302397,0.0529043226497647,5.29043226497647,"Muench's Model","Prevalence",NA,5.62743637400022
"6",5,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0698410033376539,0.00207599666600994,0.0739929966696738,7.39929966696738,0.065689010005634,6.5689010005634,"Muench's Model","Prevalence",NA,6.98410033376539
"7",6,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0832126141018174,0.00245538351622974,0.0881233811342768,8.81233811342768,0.0783018470693579,7.83018470693579,"Muench's Model","Prevalence",NA,8.32126141018174
"8",7,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.0963919996925752,0.00282343350314196,0.102038866698859,10.2038866698859,0.0907451326862913,9.07451326862913,"Muench's Model","Prevalence",NA,9.63919996925752
"9",8,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.109381923465662,0.00318039417210672,0.115742711809876,11.5742711809876,0.103021135121449,10.3021135121449,"Muench's Model","Prevalence",NA,10.9381923465662
"10",9,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.122185109051866,0.00352650829410696,0.12923812564008,12.923812564008,0.115132092463652,11.5132092463652,"Muench's Model","Prevalence",NA,12.2185109051866
"11",10,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.134804240928098,0.00386201395186037,0.142528268831818,14.2528268831818,0.127080213024377,12.7080213024377,"Muench's Model","Prevalence",NA,13.4804240928098
"12",11,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.147241964980251,0.00418714462444211,0.155616254229135,15.5616254229135,0.138867675731367,13.8867675731367,"Muench's Model","Prevalence",NA,14.7241964980251
"13",12,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.159500889057977,0.0045021292704435,0.168505147598864,16.8505147598864,0.15049663051709,15.049663051709,"Muench's Model","Prevalence",NA,15.9500889057977
"14",13,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.171583583521472,0.00480719240969103,0.181197968340854,18.1197968340854,0.16196919870209,16.196919870209,"Muench's Model","Prevalence",NA,17.1583583521472
"15",14,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.183492581780417,0.00510255420355018,0.193697690187517,19.3697690187517,0.173287473373317,17.3287473373317,"Muench's Model","Prevalence",NA,18.3492581780417
"16",15,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.195230380825162,0.00538843053383763,0.206007241892837,20.6007241892837,0.184453519757487,18.4453519757487,"Muench's Model","Prevalence",NA,19.5230380825162
"17",16,"1988-1994",NA,NA,NA,NA,NA,NA,NA,0.206799441750277,0.0056650330803654,0.218129507911007,21.8129507911007,0.195469375589546,19.5469375589546,"Muench's Model","Prevalence",NA,20.6799441750277
