age,sex,NHANES,race_f,type,n,Mean,SD,LB,25%,50%,75%,UB,Rhat,n.eff,Parameters,prev_fit,LB_scl,UB_scl,NHANES_year
0,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),1,0.0080605911080893,0.00026498562349385,0.00754003501860037,0.0078455372438813,0.00809515136631627,0.00828246581064591,0.00846158033526494,4.31339719136803,2,"lhat[1,1,1,1]",0.80605911080893,0.754003501860037,0.846158033526494,1991
1,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),2,0.00805265588073829,0.000258930694742599,0.00753915863748451,0.00784449340322765,0.00808428088250821,0.00826703066422243,0.00844763375259666,4.20475827435141,2,"lhat[2,1,1,1]",0.805265588073829,0.753915863748451,0.844763375259666,1991
2,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),3,0.00804466840237477,0.000252880135342803,0.00753827572724566,0.00784344148249334,0.00807253970690312,0.0082517389469897,0.00843359213584867,4.09461411870749,2,"lhat[3,1,1,1]",0.804466840237477,0.753827572724567,0.843359213584867,1991
3,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),4,0.00803662855309781,0.000246837909134492,0.00753738624081192,0.00784238929941423,0.00806099907984355,0.00823692246603075,0.00841945523446133,3.98296987629751,2,"lhat[4,1,1,1]",0.803662855309781,0.753738624081192,0.841945523446133,1991
4,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),5,0.00802853621654222,0.000240808409776504,0.00753649013079587,0.00784117262505817,0.00805089836757702,0.00822172305762033,0.00840475633568194,3.86983365242716,2,"lhat[5,1,1,1]",0.802853621654222,0.753649013079587,0.840475633568194,1991
5,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),6,0.00802039127993887,0.000234796513550419,0.00753558734949284,0.00783981656007256,0.00803965650052691,0.00820642656429927,0.00838987503645558,3.7552168684737,2,"lhat[6,1,1,1]",0.802039127993887,0.753558734949284,0.838987503645558,1991
6,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),7,0.00801219363417497,0.000228807639140756,0.00753467784887917,0.00783845005930174,0.00802975100795251,0.00819103283689416,0.00837509576995178,3.63913469015055,2,"lhat[7,1,1,1]",0.801219363417497,0.753467784887917,0.837509576995178,1991
7,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),8,0.0080039431738542,0.000222847815228422,0.00753376158061038,0.00783707304619908,0.00802126304399068,0.00817641093345729,0.00836069810514077,3.52160654240913,3,"lhat[8,1,1,1]",0.80039431738542,0.753376158061038,0.836069810514077,1991
8,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),9,0.00799563979735688,0.000216923756768556,0.00753283849601954,0.00783587896454525,0.00800937293032461,0.00816161285247248,0.0083455136090719,3.40265674169925,3,"lhat[9,1,1,1]",0.799563979735688,0.753283849601954,0.83455136090719,1991
9,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),10,0.00798728340689991,0.000211042950821819,0.00753190854611536,0.00783478371498005,0.00799697036887523,0.00814795507305837,0.00833010797075502,3.28231529154596,3,"lhat[10,1,1,1]",0.798728340689991,0.753190854611536,0.833010797075502,1991
10,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),11,0.00797887390859663,0.000205213752748385,0.00753097168158052,0.00783368000556759,0.00798799226521029,0.00813643584474909,0.00831460769475489,3.16061891171137,3,"lhat[11,1,1,1]",0.797887390859663,0.753097168158052,0.831460769475489,1991
11,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),12,0.00797041121251648,0.000199445493424534,0.00753002785276987,0.00783256777341812,0.00797895538299378,0.00812009851913023,0.00829954160334214,3.03761241057243,3,"lhat[12,1,1,1]",0.797041121251648,0.753002785276987,0.829954160334214,1991
12,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),13,0.00796189523274448,0.000193748597859964,0.00752907700970866,0.00783144695521315,0.00796834578211244,0.00810273717653925,0.00828434997932133,2.91335057494206,3,"lhat[13,1,1,1]",0.796189523274448,0.752907700970866,0.828434997932133,1991
13,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),14,0.00795332588744058,0.000188134715120562,0.00752811910209075,0.00783031748720311,0.0079630724663732,0.00808799047141806,0.00826896730203646,2.78790085879134,3,"lhat[14,1,1,1]",0.795332588744058,0.752811910209075,0.826896730203646,1991
14,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),15,0.00794470309889859,0.000182616858719688,0.00752715407927685,0.00782873823352164,0.00795465212268714,0.00807153347531518,0.00825348581852487,2.66134733183018,3,"lhat[15,1,1,1]",0.794470309889859,0.752715407927685,0.825348581852487,1991
15,Male,1988-1994,Non-Hispanic White,Force of Infection (λ),16,0.00793602679360504,0.000177209555533193,0.00752618189029272,0.00782499902905705,0.00794549856929852,0.00805560667901576,0.008237827509226,2.53379665087528,3,"lhat[16,1,1,1]",0.793602679360504,0.752618189029272,0.8237827509226,1991
