"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b78","b79","b80"
"b1",6191.54503587399,10.4310363108392,4.86306966974743,-10.6305492284144,-4.54911842372644,4.73952462820475,2.38574772836749,4.77503965770382,-0.0218378412514025,0.830842792539804,0.692096391544343,-0.000552184777133946,-0.0123961701851787,0.0812765189851337,-0.000350031232697469,-0.207279663331075,-573.26947951151,32.1120638830717,2.72908439478504,18.1371448333857,3.87684371090006,0.012239370419514,0.0806593149918869,-0.000475132059235088,-192.203888745722,9.63654329987655,4.92319135004496,6.3285363056804,0.861882467580316,-0.481195602006088,-3.96299565827251e-05,-0.000603251313967858,-0.0503433432795827,-0.638754589054144,-0.086353538238649,-0.000480831500977679,-0.0854160169979803,-0.0279492700325336,-0.0807178446470907,0.353171669428345,-593.849425722434,29.8114099848003,4.004976820556,10.9458000635687,0.726684223574544,2.75233963300972,1.22495360943233,2.31091314240132,-569.712006770496,9.9203342144977,6.9145689891354,0.114600589033541,10.4870824101581,1.7100729930862,0.00243103646214782,0.00525248714551864,-0.00166762733988008,5.54922770916364,-0.000235301081703471,0.00033409932222075,-0.0881714792828485,0.000330144723281492,-0.07073950426089,-0.262325364238459,-0.248123998321995,-3.42911153335917,0.0124034065353941,0.00949650007254335,0.556953751716585,-0.00972392015095862,0.220889784329146,0.0476662675096681,-431.75842543686,36.4941151562939,9.01843675162774,4.02503039005481,0.101456364917065,2.50605288470993,0.0244494456916235,-1.62521214111089
"b2",10.4310363102776,2917.04865968807,22.9157484133405,-36.0045428078856,-8.94533043317215,2.13938743692007,0.894761762839479,2.17363681985062,-0.114818810977132,6.48589742556211,1.68018670661773,-0.0134169946712037,0.219935174028706,0.319183336376384,0.000248019419800497,0.262253186026904,128.393997921634,474.796153248266,-26.9229208678051,-63.5660753751265,-4.29158563860528,-0.00593121225954119,0.204541888102161,-0.00123013530426482,26.4429484495854,16.362643375361,-1.50187203502267,4.3841032468707,2.02108475262553,0.266510111441046,-8.10394879089295e-05,0.00485890367187767,0.004955386974319,-9.77335216974982,-0.212402107147884,0.00178253222027544,-0.0707308267468864,-1.86793706641649,-0.46997229322271,0.421954447217501,-32.9280090589264,-2216.44182917462,-21.2533185942288,17.505412294354,-5.34883357828599,-1.3584500657797,-0.100479744048314,-1.27328346423358,-190.653833352537,-2070.54368841245,9.66279840934778,0.540538091111539,9.83550150369038,1.3561147092261,0.000448913228140669,0.00639280180426412,0.000290484480309786,24.1132578953473,0.000569593379924057,-0.0207959802429612,-0.280097946575237,0.158538073715215,-0.162001184900285,-1.34073159786731,0.0488313790720608,-10.6824479773966,0.00496123012742545,-0.0944007766094422,1.48267254465098,0.0161635996686146,1.06867567220219,0.0218695324408693,80.1483143078489,769.592616434163,18.4128375323097,-13.17884519567,0.192098955007157,-2.65470582665238,-1.27240334939759,-2.13506458329364
"b3",4.86306965661416,22.9157485551816,5013.67573571081,155.847217009301,60.3301615783253,53.1381551182943,14.8801145615312,50.6956116870209,-3.32600579657276,-2.00481330196956,-15.677660332134,-0.674730551898388,1.5607211687952,3.07298090710315,0.000500370232342306,4.499520636964,3.77622151085043,58.8460093621269,181.355237635855,-233.050668536877,-21.2875434103257,-0.0055929811512986,-0.149366258696766,0.00152686589403501,21.491510381951,-24.7029843424038,221.462490952378,-117.349706251115,-18.8652421140877,-15.7661005045372,-0.0012715683021396,-0.0385675862998919,-0.000374412633510666,-2.68842971139724,7.8855045246976,0.00447986500100582,1.29626714608932,2.68044956617113,1.8423184110961,13.3228079041601,-2.01546792591027,27.9093545197423,-1708.46451629181,49.0169059255631,11.9284442764531,-1.66823437443121,3.10923609171165,-2.55611655345141,4.0692639855889,5.89548041781009,-1480.20780464243,1.18308549457471,16.5337258596887,2.64760277873631,-0.000971751237137163,-0.0133143865159115,-4.85797894578215e-05,-0.287412692554189,0.0159640342089266,-0.0582372854091489,-1.23397612679007,-0.859253529330044,-0.355440196733311,-0.233838586759479,-0.0383253917199865,-3.09608347409472,0.510538877596848,0.245719669323996,4.87166062377129,0.00986041569677048,-4.67762302942771,-5.36119939006757,15.1643865435159,-52.3379264157103,1231.93544707835,-46.6182191997083,-1.87493309616227,-9.76374005278129,-7.52280093799437,-8.39028006770095
"b4",-10.6305491571409,-36.0045428197215,155.847216773725,1637.49442776207,-146.615787760495,-76.6645831395686,-19.3295401891573,-100.025591485434,0.248920149111878,-0.107980247674425,-2.16473471067283,0.911077142886746,-8.03477616475978,-40.0985275632921,0.00968461192805574,-12.3811494574015,172.987714374115,-25.3170289789498,-136.75697040904,2541.50109852641,151.073419192653,-0.0496437573337732,-2.15582796836403,-0.0136488999184955,5.33123240871844,-5.66837007308349,24.1068941012889,32.2983942330124,-56.3539745015661,3.65888918203151,-0.00180520931238192,-0.15991299142961,-0.000756655196807421,0.392391625619158,2.05334378079124,-0.0921744818173461,-0.761804607526057,-79.7203511732702,-9.71483084024311,-11.8129124381704,-11.8153512396029,29.2521754213353,135.01053219578,-809.275347300304,127.200699362709,79.6746723795284,27.4726105201281,123.275834240472,-174.348435544265,-40.6570243738963,-437.115557327108,-16.2377965966682,-18.8796365287003,19.2598234415886,0.000117749935733908,-0.0567821864775603,0.00017207528326095,-1.06900518448785,-0.0132746398899545,0.583611468183098,10.220554269706,13.6882091146074,7.4310585971652,27.0230294053291,0.0326591267059168,0.959769351825431,0.00816513049312253,0.492323605661548,-51.0312706897604,-0.334895256032174,24.1541211880408,3.18759980497044,73.7265543637242,56.691784272237,193.813935563294,400.755901379522,-5.75220324561193,24.947408914514,26.5925240802369,-28.2334926882719
"b5",-4.54911842357746,-8.94533042609423,60.3301615817076,-146.615787784171,1059.70802916269,-30.1328519170393,78.3783984530216,-9.65743894005873,0.410028199530285,0.0213083080621544,-1.53020270536828,0.413025137899264,-42.4343933188994,-5.97932494593277,-0.154552825762855,-3.99527932055424,20.2782399737767,-29.9464710703103,-46.4543932864219,-116.844618411392,942.859077801838,-0.139415490703072,-0.498900272358951,-0.32623750789674,4.01992353296601,-25.7000973156447,-189.917137843375,6.71172383767952,1254.4844801813,14.5798094824074,0.071283176076789,2.97163275098217,-0.012620739615504,0.5893693118636,0.798545640408907,0.105511816636102,-80.0776705126416,-21.9453811265533,-73.0194619306493,-1.83716846514575,-11.0583166935887,33.2671171126975,-82.169608089096,62.0346678066763,-1690.43921190281,47.9052929423306,-87.8978427323287,16.5620947301203,-31.4930220245872,-14.562386933625,55.8465016123832,7.14481114081875,-288.106354292859,148.860489212812,0.608274946815675,2.35639467521462,-1.50011739014008e-05,-0.745799316564682,0.012995982478577,-0.430228983014657,-11.385926307592,3.33091856242015,-44.3276743745764,-9.53193610889122,-0.279217216578098,0.794736474172516,-1.64286562125398,-0.737527580101234,84.2950091081918,1.42520572056502,176.236805531534,3.87275827115638,18.1515125358023,-1.46317951402756,54.8218638403765,-159.045785086671,126.334604657803,-27.0442984336769,7.61377662034503,-8.79527898068377
"b6",4.73952462537644,2.139387438505,53.1381551227465,-76.6645831351987,-30.1328519183855,236.813816938381,3.06071784307375,-47.2453746457363,0.248711224424323,0.153749342270087,-0.0779658926994621,0.51662603217594,0.981416029406477,2.40579356788137,-0.000914927130534983,-5.11774074431059,7.53609314384869,-2.56880273585447,-16.0726308702599,-119.878103832138,-4.808137910996,1.29152253216773,-9.02336340400035,-0.0506979862885261,5.03311607248747,1.76757131543622,-13.8433670406032,-2.68306016767688,-28.466139994634,76.1354721798056,0.000922738184517508,-0.142069064646431,0.00226001466706643,0.223621829799942,0.632155002083818,0.0069798540038067,1.94806622418376,-250.463995420549,-19.8988449391422,4.2891229962424,-2.65712150906625,1.42126815936129,-19.9848732723436,37.8255856632392,-2.80448734835268,-670.334383138106,34.2431710043239,106.737807317681,-16.0933737002222,2.09490367484621,-5.30174806314282,1.55749851315645,21.1435396407296,-858.19371959297,0.062395128724582,0.0768203509204032,5.89434623508087e-05,0.0377501169471512,-0.00072595285793125,-0.0481894663051637,-0.603378239159471,29.6640162063038,4.9362935471481,-15.8507040437123,0.0337449726198857,0.188092184685972,0.00924469235767601,0.0149048632998375,7.21648616727695,-1.38946717097119,46.6921800213982,3.6831372621298,6.34561267525326,-3.51995970186497,10.6955074095212,-30.6193636399148,-3.04767667701936,374.134798209249,-13.0591201641725,-105.058682059704
"b7",2.38574772528485,0.894761764091698,14.8801145693438,-19.3295401943225,78.3783984616475,3.06071784356703,1079.382825784,-70.1408658017132,1.48175434603061,0.998404307462,0.483118875830368,1.33797843145123,2.89457370116994,0.675132382434924,1.56899496861439,16.1607154885823,3.76255934845222,-0.944370057231777,-1.03694919358704,-36.1778713536125,-21.2615739076794,-0.115762317688727,607.986811385208,0.00865224860134525,1.73418788759355,0.950723846832727,-7.23052688538114,-6.25422105744268,-55.3638845374978,-48.2039452283847,-0.351443829025656,-1.12877919456083,0.0110676640780686,1.19783464877843,1.37081934575034,0.00272616822100341,4.47720304269719,-3.52361355605897,-626.874451342071,14.8637773093016,-1.22411994826978,0.571263753814541,-1.91987090526624,11.763369046347,32.8259921104731,34.9399916641205,-1627.04129299751,173.312426242045,-6.17282679156588,0.717543893736659,-4.05699843812626,1.29283636975504,-58.6970391884168,23.9944813853581,-6.35683385515617,-0.255488283572051,0.000475282758868748,0.597642657685439,-0.00190437140467446,-0.078228537416134,1.50041565240926,2.07489538549102,205.221668999922,-17.9141640009334,0.246444180960426,0.986418407324333,0.0188435537949706,0.581233576685053,0.536756087121289,0.0841080802589848,1467.8909158347,-7.29417386685993,2.89144436860145,-1.03351561269931,-0.287602068483275,-10.8929512811724,-3.94457478623503,-0.222406393601663,157.410770193716,-150.950746946346
"b8",4.77503965380159,2.1736368231335,50.6956117004878,-100.025591492431,-9.65743894078977,-47.2453746455501,-70.140865800834,366.96816048256,1.06667195146232,0.693945131147543,0.210284132111303,0.899282479613751,-0.306739562383858,-8.43218834716761,-0.00389890654796774,22.8866760508477,8.83897495617911,-3.3874925618095,-19.3619934362485,-111.489687144205,2.39730246517069,0.0539197123977491,16.8773624650154,0.54668484259271,5.02082216318051,2.64455948039079,-10.2586963145709,-4.57425649353246,-44.2617703692145,-38.4683263870924,-0.0179128744536181,0.150007613980311,-0.00375969798719636,0.85056418498329,0.985340389042576,0.0110765546671147,1.94790617207216,-24.3448090264339,-17.5776955457416,-21.3746528658268,-3.7222360295883,0.970386619203301,-15.0097460659374,43.6649029605185,12.5902136237781,92.1030302009959,69.9478620649135,-1006.45996664919,-18.4938052060801,2.37936102073119,-9.8592113618156,1.73016753557435,-7.91673525993688,45.2912394044341,-0.0112668403959967,-2.53824619249771,-0.000204380375381112,0.425489282741708,-0.000157068211262575,-0.0266322692218841,0.61920255751876,4.49590406877507,6.7245423790041,157.30822282387,-0.130073711413946,0.742468349049881,0.0420742827236711,0.695760000965603,3.00599923715157,-0.457764942749048,43.9428755833278,-31.8796394207235,6.54346024627821,-3.26286706530528,8.64754017424524,-32.8920260135203,-4.5606135839034,31.5806239159649,1.32569525813998,1050.71966941887
"b9",-0.0218378412301755,-0.114818811070067,-3.32600579650516,0.248920148897828,0.410028199627819,0.248711224464467,1.48175434630237,1.06667195156738,4.5559444455267,0.214120823187081,-0.282219632050145,0.205182258706799,-16.4264979150501,-26.760495324121,-0.0342399011936461,-0.345873632639367,-0.164810654000981,-0.211307584714673,0.384984214486043,0.244366848357697,-0.683368269767188,-0.00095201203136346,-0.0846450376933397,0.00408058269309963,0.0643589997214708,0.0541734476731538,1.40014327891762,0.14772213415289,0.577877574637959,-0.120547950066516,-9.73005416937832e-05,-0.0142925537226528,-5.7912161358631,0.251068058262823,0.210188601687144,0.0623728446016224,-1.17415066247441,-8.13262190338292,-2.62740883061954,-0.0251524890386826,0.0260416202414994,0.0918518336109258,1.24585567320965,-0.239527545487553,-0.420440278923034,-0.706708484172512,1.10665087109736,-3.04827787206259,0.200952785124431,-0.0293120394865105,0.854433703741885,0.0091588729703635,-0.195357453306839,0.0600861025794617,0.00171934824424842,-0.0100697754125526,-0.248014642171531,0.148596770335164,0.0219536021470779,0.447303977815701,1.20148432720826,2.91764763661081,1.75339627253535,0.644924168191646,-166.592311313215,0.222731107866429,0.58581237251348,0.130617561742729,-3.16701190576114,-0.113198867772904,6.14661101210188,0.0199947117432537,-0.0574548276009543,0.0801602436030215,-1.11336702219069,0.0348540756916962,0.0563885156791693,-0.77472751030832,-0.819350200625661,2.77254606292619
"b10",0.830842792636214,6.4858974254161,-2.00481330128122,-0.107980247223435,0.0213083081670573,0.153749342288798,0.998404307699231,0.693945131169015,0.214120823186543,3.00942519334005,0.0828928041972305,0.140842852677147,-11.051136777931,-18.0100211263668,-0.0219839907284273,-0.206572740282223,-1.64330109138373,24.8594816138266,1.70867929867709,0.723924386936407,-0.384952944929166,-0.000642776388349622,-0.038883145509987,0.00265343110874911,1.32485220926199,11.4705076693948,-1.33824161336784,0.121371741954498,0.547380676013492,-0.0981658570771255,-6.98685930809936e-05,-0.00903794448292284,-0.10395409952657,-1.08818679905251,0.131678651726621,0.0400185930187475,-0.791496763679943,-5.46084808900957,-1.77037216314438,-0.0155016113569039,0.0979261028725387,-17.0128538152005,1.31665665305601,-0.1425897774319,-0.361229295169926,-0.461776090701335,0.734966768798698,-2.02067334372641,1.75951848755091,10.1641158509162,-0.130502206728361,0.00148745666971307,0.0255189852554196,0.0465653958318805,0.00109994356756311,-0.00634133602363753,-0.00484394146487635,0.0302799196854176,0.0141802271943685,0.286886300175624,0.806298115218986,1.96104723301024,1.1465656365943,0.410147461387298,-3.40853723309067,-1.38630631239479,0.369990454739539,0.033246659652214,-2.12343514968853,-0.0745373013979085,4.14085390410833,0.00672550720817648,-0.546272339553584,-7.21404863255835,-1.39431516671418,0.202520382459904,0.0536144603780013,-0.514897851380168,-0.551765565642966,1.86211413409265
