"","time","s0","i0","s1","i1","race","scenario","I","scen","waifw","scen_waifw"
"1",0,0.466886547306564,0.533113452558175,0,0,"Hispanic","No Treatment",0.533113452558175,"0","Assortative","Status Quo - Assortative"
"2",1,0.466582638301704,0.533417361564144,0,0,"Hispanic","No Treatment",0.533417361564144,"0","Assortative","Status Quo - Assortative"
"3",2,0.466271426073459,0.53372857379353,0,0,"Hispanic","No Treatment",0.53372857379353,"0","Assortative","Status Quo - Assortative"
"4",3,0.465952973093497,0.534047026774663,0,0,"Hispanic","No Treatment",0.534047026774663,"0","Assortative","Status Quo - Assortative"
"5",4,0.465627371462066,0.534372628407298,0,0,"Hispanic","No Treatment",0.534372628407298,"0","Assortative","Status Quo - Assortative"
"6",5,0.465294732673609,0.53470526719699,0,0,"Hispanic","No Treatment",0.53470526719699,"0","Assortative","Status Quo - Assortative"
"7",6,0.464955185672025,0.535044814199842,0,0,"Hispanic","No Treatment",0.535044814199842,"0","Assortative","Status Quo - Assortative"
"8",7,0.464608878819642,0.535391121053525,0,0,"Hispanic","No Treatment",0.535391121053525,"0","Assortative","Status Quo - Assortative"
"9",8,0.464255983099773,0.535744016774726,0,0,"Hispanic","No Treatment",0.535744016774726,"0","Assortative","Status Quo - Assortative"
"10",9,0.463896694114166,0.536103305761698,0,0,"Hispanic","No Treatment",0.536103305761698,"0","Assortative","Status Quo - Assortative"
"11",10,0.463531231241335,0.536468768635928,0,0,"Hispanic","No Treatment",0.536468768635928,"0","Assortative","Status Quo - Assortative"
"12",11,0.463159833760234,0.536840166118461,0,0,"Hispanic","No Treatment",0.536840166118461,"0","Assortative","Status Quo - Assortative"
"13",12,0.462782755046166,0.537217244833995,0,0,"Hispanic","No Treatment",0.537217244833995,"0","Assortative","Status Quo - Assortative"
"14",13,0.462400256506911,0.537599743374749,0,0,"Hispanic","No Treatment",0.537599743374749,"0","Assortative","Status Quo - Assortative"
"15",14,0.462012602679873,0.53798739720332,0,0,"Hispanic","No Treatment",0.53798739720332,"0","Assortative","Status Quo - Assortative"
"16",15,0.461620058184595,0.538379941700163,0,0,"Hispanic","No Treatment",0.538379941700163,"0","Assortative","Status Quo - Assortative"
"17",16,0.461222886444437,0.53877711344192,0,0,"Hispanic","No Treatment",0.53877711344192,"0","Assortative","Status Quo - Assortative"
"18",17,0.460821349560402,0.539178650327587,0,0,"Hispanic","No Treatment",0.539178650327587,"0","Assortative","Status Quo - Assortative"
"19",18,0.460415708549577,0.539584291340076,0,0,"Hispanic","No Treatment",0.539584291340076,"0","Assortative","Status Quo - Assortative"
"20",19,0.460006223298457,0.539993776592892,0,0,"Hispanic","No Treatment",0.539993776592892,"0","Assortative","Status Quo - Assortative"
"21",20,0.459593151889866,0.540406848003211,0,0,"Hispanic","No Treatment",0.540406848003211,"0","Assortative","Status Quo - Assortative"
"22",21,0.459176749293087,0.540823250601748,0,0,"Hispanic","No Treatment",0.540823250601748,"0","Assortative","Status Quo - Assortative"
"23",22,0.458757265652739,0.541242734243885,0,0,"Hispanic","No Treatment",0.541242734243885,"0","Assortative","Status Quo - Assortative"
"24",23,0.458334944525607,0.541665055372834,0,0,"Hispanic","No Treatment",0.541665055372834,"0","Assortative","Status Quo - Assortative"
"25",24,0.457910021402726,0.542089978497561,0,0,"Hispanic","No Treatment",0.542089978497561,"0","Assortative","Status Quo - Assortative"
"26",25,0.457482722756404,0.542517277145755,0,0,"Hispanic","No Treatment",0.542517277145755,"0","Assortative","Status Quo - Assortative"
"27",26,0.457053265718868,0.542946734185188,0,0,"Hispanic","No Treatment",0.542946734185188,"0","Assortative","Status Quo - Assortative"
"28",27,0.456621858373361,0.543378141532616,0,0,"Hispanic","No Treatment",0.543378141532616,"0","Assortative","Status Quo - Assortative"
"29",28,0.456188700546513,0.543811299361407,0,0,"Hispanic","No Treatment",0.543811299361407,"0","Assortative","Status Quo - Assortative"
"30",29,0.455753984941922,0.544246014967961,0,0,"Hispanic","No Treatment",0.544246014967961,"0","Assortative","Status Quo - Assortative"
"31",30,0.455317898445466,0.544682101466398,0,0,"Hispanic","No Treatment",0.544682101466398,"0","Assortative","Status Quo - Assortative"
"32",31,0.454880623452003,0.545119376461859,0,0,"Hispanic","No Treatment",0.545119376461859,"0","Assortative","Status Quo - Assortative"
"33",32,0.454442339098124,0.54555766081775,0,0,"Hispanic","No Treatment",0.54555766081775,"0","Assortative","Status Quo - Assortative"
"34",33,0.454003222325393,0.545996777592503,0,0,"Hispanic","No Treatment",0.545996777592503,"0","Assortative","Status Quo - Assortative"
"35",34,0.453563448735398,0.546436551184531,0,0,"Hispanic","No Treatment",0.546436551184531,"0","Assortative","Status Quo - Assortative"
"36",35,0.453123193227787,0.546876806694181,0,0,"Hispanic","No Treatment",0.546876806694181,"0","Assortative","Status Quo - Assortative"
"37",36,0.45268263043393,0.54731736949008,0,0,"Hispanic","No Treatment",0.54731736949008,"0","Assortative","Status Quo - Assortative"
"38",37,0.452241934972299,0.547758064953755,0,0,"Hispanic","No Treatment",0.547758064953755,"0","Assortative","Status Quo - Assortative"
"39",38,0.451801281558611,0.548198718369485,0,0,"Hispanic","No Treatment",0.548198718369485,"0","Assortative","Status Quo - Assortative"
"40",39,0.451360845005639,0.548639154924496,0,0,"Hispanic","No Treatment",0.548639154924496,"0","Assortative","Status Quo - Assortative"
"41",40,0.450920800145975,0.54907919978619,0,0,"Hispanic","No Treatment",0.54907919978619,"0","Assortative","Status Quo - Assortative"
"42",41,0.45048132170709,0.549518678227095,0,0,"Hispanic","No Treatment",0.549518678227095,"0","Assortative","Status Quo - Assortative"
"43",42,0.450042584162707,0.549957415773485,0,0,"Hispanic","No Treatment",0.549957415773485,"0","Assortative","Status Quo - Assortative"
"44",43,0.449604761578592,0.550395238359591,0,0,"Hispanic","No Treatment",0.550395238359591,"0","Assortative","Status Quo - Assortative"
"45",44,0.44916802746491,0.550831972475246,0,0,"Hispanic","No Treatment",0.550831972475246,"0","Assortative","Status Quo - Assortative"
"46",45,0.448732554641717,0.55126744530039,0,0,"Hispanic","No Treatment",0.55126744530039,"0","Assortative","Status Quo - Assortative"
"47",46,0.448298515119373,0.551701484824661,0,0,"Hispanic","No Treatment",0.551701484824661,"0","Assortative","Status Quo - Assortative"
"48",47,0.447866079991802,0.552133919954133,0,0,"Hispanic","No Treatment",0.552133919954133,"0","Assortative","Status Quo - Assortative"
"49",48,0.447435419337745,0.552564580610062,0,0,"Hispanic","No Treatment",0.552564580610062,"0","Assortative","Status Quo - Assortative"
"50",49,0.447006702123438,0.552993297826209,0,0,"Hispanic","No Treatment",0.552993297826209,"0","Assortative","Status Quo - Assortative"
"51",50,0.446580096099333,0.553419903852121,0,0,"Hispanic","No Treatment",0.553419903852121,"0","Assortative","Status Quo - Assortative"
"52",0,0.466886547306564,0.533113452558175,0,0,"Hispanic","One-Time Treatment: 99% Effectiveness",0.533113452558175,"1","Assortative","Treatment - Assortative"
"53",1,0.466445703511659,0.533697005556043,-0.000141872669725494,-8.3653212840125e-07,"Hispanic","One-Time Treatment: 99% Effectiveness",0.533696169023915,"1","Assortative","Treatment - Assortative"
"54",2,0.762788957513535,0.199951018294948,0.0371717438546469,8.82802038585459e-05,"Hispanic","One-Time Treatment: 99% Effectiveness",0.200039298498806,"1","Assortative","Treatment - Assortative"
"55",3,0.798925457379353,0.201076415647396,-1.89517866261077e-06,2.20200744325911e-08,"Hispanic","One-Time Treatment: 99% Effectiveness",0.20107643766747,"1","Assortative","Treatment - Assortative"
