"","b1.w1","b2.w1","b3.w1","b4.w1","b5.w1","b6.w1","b7.w1","b8.w1","b9.w1","b10.w1","b11.w1","b12.w1","b13.w1","b14.w1","b15.w1","b16.w1","b17.w1","b18.w1","b19.w1","b20.w1","b21.w1","b22.w1","b23.w1","b24.w1","b25.w1","b26.w1","b27.w1","b28.w1","b29.w1","b30.w1","b31.w1","b32.w1","b1.w2","b2.w2","b3.w2","b4.w2","b5.w2","b6.w2","b7.w2","b8.w2","b9.w2","b10.w2","b11.w2","b12.w2","b13.w2","b14.w2","b15.w2","b16.w2","b17.w2","b18.w2","b19.w2","b20.w2","b21.w2","b22.w2","b23.w2","b24.w2","b25.w2","b26.w2","b27.w2","b28.w2","b29.w2","b30.w2","b31.w2","b32.w2","b1.w3","b2.w3","b3.w3","b4.w3","b5.w3","b6.w3","b7.w3","b8.w3","b9.w3","b10.w3","b11.w3","b12.w3","b13.w3","b14.w3","b15.w3","b16.w3","b17.w3","b18.w3","b19.w3","b20.w3","b21.w3","b22.w3","b23.w3","b24.w3","b25.w3","b26.w3","b27.w3","b28.w3","b29.w3","b30.w3","b31.w3","b32.w3"
"b1",1,1.80359172762476e-21,-3.5031032397905e-17,2.22660935497264e-10,-1.52931548344596e-27,4.91485070283429e-17,1.3159154178743e-16,-3.30331230836977e-27,6.70335440149633e-16,2.9513495171622e-17,-1.67646929826296e-10,2.77801619344885e-28,-8.33141886875606e-11,8.23528774354395e-28,2.59840502058125e-10,0,1.16810172544223e-19,-6.93001281172605e-17,3.19167406068561e-17,-1.87164241555475e-10,3.58359312091125e-17,2.97368867248677e-17,7.68129881323176e-17,0,3.92598783884671e-08,-1.62278166330398e-09,8.24537566607988e-27,-3.25794663648794e-22,-2.58073342388111e-21,5.88828732832827e-17,-1.55058829551093e-16,-2.17578779880007e-22,1,-0.138656204584552,-0.0575819354638707,-0.0561813322734706,-0.015296276773054,-0.00783330255706846,-0.00293674397367728,-0.00755823177386024,-2.12741859544605e-12,2.79428603759055e-11,-1.90179848392049e-12,-5.23918173755148e-12,-1.00779347363791e-12,5.87571510331192e-13,-2.71538433619771e-12,-8.22650010850121e-13,1.51831326459966e-11,-7.25269558478114e-11,1.70410920612105e-11,5.92480324333019e-12,2.74275398422083e-12,6.42271589037382e-12,1.99768706738745e-13,1.53501179848854e-13,-1.22413687044551e-11,-1.85305422421251e-11,4.8579533699973e-11,-1.988288656408e-11,-5.52091562664654e-12,8.70428670821797e-12,4.62772863739096e-12,-4.10220190783915e-12,1,0.0111594138378239,0.0363624176692988,-0.145799440815846,-0.0396962569283961,-0.0203286587643766,-0.00762131498764607,-0.019614806573513,2.76810386970858e-13,1.31018839117476e-11,-5.80447395062572e-12,-5.12433157417787e-13,3.55185689859431e-13,-4.77426253777039e-13,-2.57408803119229e-13,-3.19040011142553e-13,3.45662129033238e-11,2.55240900903973e-11,-1.44087445383579e-12,-1.07677915015993e-11,-2.96953169958287e-13,-2.03979279857991e-12,1.5459085865429e-12,-2.08129823447219e-12,-7.88012023171662e-11,5.67357424448267e-11,-1.53911926208002e-11,6.5003347306047e-12,-2.271660465323e-12,3.62359227336875e-12,-5.26069343058277e-12,-6.37604702734129e-13
"b2",1.80359172762476e-21,1,-2.21198056343279e-20,-1.19588640572538e-20,9.19475339081712e-22,-1.68110895344519e-11,8.26884726986476e-20,-5.28511349329656e-12,-2.29487167551467e-10,-1.01038267645184e-11,-4.62839641524638e-12,-2.30471628956272e-23,-1.15006896174948e-12,2.33464834500442e-12,3.5868382584666e-12,0,6.36839686020088e-21,2.3725252633727e-11,-1.09268590798572e-11,8.28532394481262e-22,-1.22685153345657e-11,1.84117725679842e-20,-2.62971946528389e-11,0,-4.27337001188147e-18,5.11122211183992e-22,2.44196731075433e-11,-2.07422287095574e-22,-1.40699515097301e-22,3.65552181962397e-20,5.30831655295878e-11,-1.40441585867247e-22,-0.138656204584552,1,-0.145264007282125,-0.141730655614804,-0.0385884643178201,-0.0197613524310909,-0.00740862902897569,-0.0190674215206656,1.9884245901262e-11,1.11968690315794e-11,-1.00604023212314e-11,-1.59592036224871e-12,6.18455366420975e-13,-4.18505533512148e-13,7.58898457493966e-13,-7.39281307979429e-13,3.32315235751285e-12,-1.95108930460732e-11,3.67239218319375e-12,3.42433378708826e-12,2.11710069147861e-13,1.32681782639592e-12,-1.04533070690302e-13,8.33028501563976e-13,9.49532877992082e-11,3.28952714026072e-11,-1.14740613730978e-11,-2.17896610287018e-11,-2.32560281531942e-12,-2.48792465842166e-12,-9.39593958371562e-13,-2.80371803686072e-12,0.0111594138378237,1,-0.180839632897815,-0.142452176171356,-0.038784909964136,-0.0198619532643482,-0.00744634478002074,-0.0191644896980835,3.38816626149416e-13,-1.68118093833019e-12,3.7512832488083e-12,-1.08832260679259e-13,-1.928085069808e-13,-8.38608777176805e-13,5.35292613089567e-14,-5.20976481512999e-13,-1.58778262794148e-11,2.51677227485689e-13,2.70191785927465e-12,-2.613561968748e-12,4.41977326548296e-12,-4.5370685510281e-14,1.10525863954422e-12,7.80921356283262e-13,-1.56670351674552e-12,-2.53809695127798e-12,1.94288324136469e-11,-6.87954660174837e-12,-7.45559404165909e-12,-4.17198037875344e-12,2.48653371553329e-13,5.21583090558615e-13
"b3",-3.5031032397905e-17,-2.21198056343279e-20,1,4.58266610830507e-21,-2.51233364748315e-22,-1.11600263531242e-18,-1.85433875369167e-11,2.17539706147814e-12,9.44588285677552e-11,4.15881920723873e-12,-3.07255665218718e-19,-2.3476098694232e-23,9.46756070023575e-13,-9.60960848875447e-13,4.8157119543766e-19,0,7.47684567438802e-21,-4.88275494809735e-12,2.24879271318081e-12,2.12687537220261e-12,-8.2360065735513e-19,-6.83414595981334e-19,-1.74573488725394e-18,0,-8.92273661628672e-10,-2.01900909965563e-23,-1.00513423568956e-11,4.04007801834912e-12,-1.33532227952767e-22,-8.29755411102809e-12,3.56421793805703e-18,2.69814278890085e-12,-0.0575819354638715,-0.145264007282125,1,-0.474451401568348,-0.129177071132896,-0.0661522471437671,-0.0248008055276934,-0.0638292740950809,-4.26630007019546e-12,-4.49215924799181e-12,3.10695775410949e-12,4.1562591472338e-13,-4.26219934788582e-14,1.66202368413875e-15,-1.61653261104315e-13,1.95540716350148e-13,-4.58832713138161e-12,1.10289321954366e-11,-1.90885538080678e-12,-1.31385704631223e-12,-3.63661834335048e-13,-2.5200968598646e-13,-3.09929583996253e-14,-2.51751620623365e-13,-7.15420845091839e-11,9.17863514935847e-12,7.89866454491236e-12,4.52677953350924e-12,9.13686653842566e-13,-3.26082470655606e-13,-1.98891068112333e-13,7.45204130603047e-13,0.0363624176692995,-0.180839632897815,1,-0.464173621776184,-0.12637877927852,-0.0647192273940597,-0.0242635593152267,-0.0624465756330982,3.72003936026489e-13,4.88576118967422e-13,-4.76339494091562e-13,-1.84675025751505e-14,-1.8354237800998e-13,-7.01224076427788e-14,-2.74736198985462e-13,2.59807314795395e-13,-6.58134132441835e-12,3.74861064139192e-14,-1.87943725557293e-12,1.9831641174709e-12,-2.66813352339581e-15,2.7678466868895e-13,1.1880592387667e-13,2.94450612341765e-13,-1.01557606240594e-12,-1.72890846937802e-11,5.95987947375405e-12,3.0399866345312e-12,-8.17483303439593e-13,-3.50034432230287e-13,-3.9882113065207e-15,1.05869546986189e-12
"b4",2.22660935497264e-10,-1.19588640572538e-20,4.58266610830507e-21,1,6.17819086771029e-23,3.54673935386505e-12,-1.72144540828668e-20,-1.09787395790041e-22,4.84163246392259e-11,2.13166671561233e-12,9.76481330973173e-13,-3.68111151771299e-32,4.8527428072815e-13,4.89068741064534e-23,-1.51347471383021e-12,0,2.22119466261387e-10,9.54973236828889e-21,-4.40416170950524e-21,-4.1896684250802e-20,1.29418211322278e-12,-3.88257466650584e-21,5.54808152004946e-12,0,9.63173365806874e-18,9.4521019399655e-12,4.98243173632862e-22,7.87770722500574e-20,-4.90737337501843e-12,-1.69575015558865e-19,-1.11992831783817e-11,7.2985664808613e-31,-0.0561813322734694,-0.141730655614804,-0.474451401568348,1,-0.298370237587992,-0.152796943952838,-0.0572843320584193,-0.1474313940556,1.25651946776382e-13,-3.33093755257247e-12,2.65236043712484e-13,6.41876075207595e-13,-1.32660292532153e-14,-1.40194428271722e-14,3.00311025693927e-13,1.41790099238329e-13,-6.35363694505968e-12,5.24670108380675e-12,-1.05552566596635e-13,-2.96508321464456e-13,-1.28014036522886e-13,-6.74524676846137e-13,2.26026523527307e-14,2.84687863909664e-14,1.93297224266158e-11,-7.27558409027217e-12,-8.30989122161891e-12,3.84369077944e-12,1.03394637564074e-12,-3.49777320663084e-13,-1.67486262935124e-13,7.04375542582054e-13,-0.145799440815847,-0.142452176171357,-0.464173621776184,1,-0.298370237587749,-0.152796943951124,-0.0572843320587749,-0.147431394055373,-9.23947978392791e-13,-2.0138947602645e-12,1.00006316534404e-14,3.31449631517507e-13,1.07748152254505e-13,3.88303316707664e-13,1.31138506609259e-13,9.1252135569132e-14,2.63630095843268e-12,-4.46301427510573e-13,-1.33741541544746e-13,4.9080030607269e-13,-1.15338882043784e-12,1.10547320923162e-13,-6.64242361031104e-13,-1.22714409237872e-13,1.52586236814741e-11,-8.45947462108196e-13,-7.28918512899439e-12,2.53351396209216e-13,2.98530176968359e-12,1.24059821202529e-12,8.23834208724873e-13,-6.02849947965122e-13
"b5",-1.52931548344596e-27,9.19475339081712e-22,-2.51233364748315e-22,6.17819086771029e-23,1,-4.87619099587191e-29,6.90387459925266e-22,-3.32274802110152e-12,4.12379236662264e-21,1.84606538203744e-22,-1.34179712065323e-29,-1.44897390704535e-23,4.13325627039325e-23,1.46779216343359e-12,8.37473065254451e-23,0,3.41928101347998e-21,1.49160536441597e-11,-6.86971046055919e-12,9.28530721585797e-23,-7.71320903061037e-12,6.13587347665263e-24,-7.62374455916317e-29,0,-3.89540223051678e-20,6.26295423826589e-34,1.53526353969141e-11,-1.30406279962309e-22,-1.46237508694231e-11,-2.06276365783221e-22,-1.67514086843095e-21,-8.82955496346388e-23,-0.0152962767730535,-0.0385884643178192,-0.129177071132896,-0.298370237587992,1,-0.136784444429325,-0.0512811665762319,-0.13198118238355,-1.08051948553921e-12,-1.00601153466465e-12,3.47925119556178e-13,2.53420105447319e-13,2.67592094382353e-14,7.93541111743043e-14,-4.41188800505784e-14,3.8556541568167e-14,1.20735505837084e-11,7.32555380445943e-13,-2.71714773452228e-12,-3.41886239775167e-13,-7.30277145235174e-14,-3.32025707234947e-13,2.77407054544119e-14,-1.22049803090761e-13,9.28755709426843e-12,-1.16933087643374e-11,-3.53370722575354e-13,3.58627680216744e-12,-7.46377388676677e-13,1.96819725911475e-14,3.86006790079015e-14,3.00119626778143e-13,-0.0396962569283962,-0.0387849099641357,-0.12637877927852,-0.29837023758775,1,-0.136784444429287,-0.0512811665760204,-0.131981182383603,2.98260025717807e-13,1.52261833179553e-12,-5.5300850845922e-13,-2.2605230467526e-13,-3.38496785136907e-15,-9.02419582758756e-14,3.0625234722959e-14,-2.65241069809743e-14,7.37631597471194e-13,-2.36911589384848e-12,4.67716643918906e-13,2.94599320652164e-13,3.02333428811467e-13,-3.30712587064302e-14,-1.84817026203626e-14,4.3453338800317e-15,-8.72806476434002e-12,7.50083048156353e-12,9.02846204788142e-13,-1.67200490406714e-12,1.19391210927374e-14,-7.97396592134571e-13,-5.16797422892068e-13,4.03028910935371e-14
"b6",4.91485070283429e-17,-1.68110895344519e-11,-1.11600263531242e-18,3.54673935386505e-12,-4.87619099587191e-29,1,4.19218325487833e-18,2.36297726227045e-22,2.13652405761159e-17,9.40666682080286e-19,-2.67042763597549e-12,8.85110758807693e-30,-1.3271017256901e-12,-1.04382281136165e-22,4.13896787942221e-12,0,1.86065421480245e-21,-2.20879259768736e-18,1.01727749009995e-18,-2.98131701103957e-12,1.14218867033424e-18,9.47344159714931e-19,1.51725936398199e-11,0,1.25073179448906e-09,-2.58490946122125e-11,-1.091805203308e-21,-5.18958499171547e-24,-4.11081707854514e-23,1.87586369172749e-18,1.53135899488791e-11,-3.4657923386577e-24,-0.00783330255706909,-0.0197613524310916,-0.0661522471437669,-0.152796943952838,-0.136784444429325,1,-0.0716013490501234,-0.184278777935973,-2.65645285580639e-12,-8.81930802926947e-13,1.16084423558681e-12,1.34619913013997e-13,-8.84881767443363e-14,1.15953669852901e-14,-3.05430596943829e-14,8.43988841595605e-14,-4.58116374128739e-12,5.67071847353066e-12,-4.62609590318338e-13,-6.43880130513449e-13,-1.12103933758898e-13,-4.42729415774970e-13,3.13175328903341e-14,-1.25384232683018e-13,-1.88170858003951e-11,5.13289654806368e-12,2.60444199652271e-13,1.08544095091166e-12,4.07933198640387e-13,1.85190307325427e-14,7.54737941733481e-14,1.68733623834874e-13,-0.0203286587643765,-0.0198619532643485,-0.0647192273940596,-0.152796943951124,-0.136784444429287,1,-0.071601349050032,-0.184278777936082,9.51493980003492e-14,-2.37133278327086e-13,-1.83735670167297e-13,-1.80150531268237e-14,3.44844921520612e-14,1.2709528767623e-13,1.2569203796124e-13,-1.4943340249776e-14,3.45091148364016e-13,-1.25370124906288e-12,1.10788583081691e-13,7.44827640490848e-13,-6.07249921609463e-13,3.72385354027002e-14,-2.24989980539844e-13,-4.867140263267e-14,3.34061542468045e-12,-8.94342120978227e-13,-2.37414078686992e-12,6.93632537372899e-13,9.37799797862123e-13,5.50908503270035e-13,1.8071587265435e-13,-3.33334842023223e-13
"b7",1.3159154178743e-16,8.26884726986475e-20,-1.85433875369167e-11,-1.72144540828668e-20,6.90387459925266e-22,4.19218325487833e-18,1,-8.171721862712e-12,-3.54827763723254e-10,-1.5622303827062e-11,1.15418370346036e-18,1.521798523054e-12,-3.55642076247977e-12,8.01014066649591e-23,-1.80898739632486e-18,0,-2.80862304829227e-20,3.66834382301195e-11,-1.68948574036683e-11,-7.98945364322697e-12,3.09383167142006e-18,2.56719806818049e-18,6.55772695353367e-18,0,3.35176153235652e-09,7.58426178504796e-23,8.37834998201027e-22,-1.51762611313478e-11,5.01604164981881e-22,3.11691624189241e-11,-1.33879929619279e-17,-2.1039665907746e-22,-0.00293674397367726,-0.00740862902897661,-0.0248008055276933,-0.0572843320584191,-0.0512811665762319,-0.0716013490501235,1,-0.162717284498807,-2.55942458554668e-16,-1.74953632744375e-13,-4.44445628359731e-14,1.19590720235793e-13,8.90268274359181e-14,-2.99884647059082e-14,2.34481537004151e-14,-5.30711549870605e-14,9.73345025285329e-12,-1.39382594463853e-12,-1.69773846278009e-12,-2.89964901528788e-14,-2.55295762194442e-14,-6.85927278526432e-14,5.8355989812886e-15,9.67542807234041e-14,2.16761183657576e-12,7.99871875299343e-14,-6.88249455646407e-13,-1.1405264206266e-14,1.27423273960016e-13,4.80868941288096e-14,-5.12032146196643e-13,-1.2460765616414e-13,-0.00762131498764611,-0.00744634478002091,-0.0242635593152267,-0.0572843320587748,-0.0512811665760205,-0.0716013490500319,1,-0.162717284499009,4.73828627746369e-14,-1.09545683990685e-13,7.75732519277235e-14,-1.45731329070734e-14,6.87941168888789e-16,6.99368198807104e-15,9.07368208546554e-16,-6.69373708526233e-15,1.46331896201032e-13,-4.49007479498255e-13,1.0837911794266e-13,6.52682708719691e-14,-3.77950265634901e-14,-6.38456816269847e-15,1.22507913874247e-14,1.30088921317025e-14,1.20795525915583e-12,-8.77471232955927e-13,1.58802547648684e-13,-5.54612505349683e-15,-2.80764832279426e-14,-2.14565249357531e-14,6.14537047881449e-14,1.12131044073438e-14
"b8",-3.30331230836977e-27,-5.28511349329656e-12,2.17539706147814e-12,-1.09787395790041e-22,-3.32274802110152e-12,2.36297726227045e-22,-8.171721862712e-12,1,1.01198437051833e-20,-9.16356971965178e-13,2.44615713732793e-23,-1.7251242256447e-23,9.53524356107451e-23,-6.6867069787339e-23,-1.47076332163622e-22,0,2.97918835365446e-21,4.30347850863692e-12,-1.98200221268918e-12,2.01843137934494e-22,3.18700136748044e-22,-1.84663515661441e-12,1.38983493683435e-22,0,-8.41367818561828e-20,-1.08777703072015e-32,-7.05940385814099e-22,8.90193315320215e-13,-1.02540954643021e-23,-3.65657591980329e-12,9.62865456384563e-12,1.18902093639621e-12,-0.00755823177386173,-0.0190674215206642,-0.0638292740950809,-0.1474313940556,-0.131981182383551,-0.184278777935973,-0.162717284498807,1,-1.2332164746345e-12,-5.54723649679055e-13,3.09386203614939e-13,2.03103794553903e-13,3.28020665226967e-15,1.28734761845056e-14,2.22781779191078e-14,4.62170221567861e-14,5.81762347003650e-13,1.04382816700997e-12,-2.93547462562524e-13,-2.96489535334129e-13,1.98948136745573e-14,-1.09795395549015e-13,-9.03048601813763e-14,-2.50597013611652e-15,6.4624973677169e-12,-3.85484336776389e-12,-9.50839819608403e-13,8.91187077195225e-13,1.98520205826099e-13,-6.77224015763225e-14,-1.79623666346226e-13,1.30182418757606e-13,-0.0196148065735132,-0.0191644896980842,-0.0624465756330975,-0.147431394055374,-0.131981182383604,-0.184278777936082,-0.162717284499009,1,9.78116038141948e-14,-1.18821380933902e-12,5.84188105638828e-13,3.62202962218657e-14,1.44281464790139e-14,2.49145582410628e-14,5.43669623270283e-15,-6.89435131616765e-16,3.75102059469546e-13,-1.15747043956134e-12,2.72983774311994e-13,1.52627598124316e-13,-1.14335380019494e-13,1.21342351671403e-13,2.18865110142877e-14,1.89904544019423e-14,3.01242383116796e-12,1.63047711195006e-12,-8.78453816519609e-13,-7.28073000984586e-13,1.98160611407593e-13,1.14604972943564e-13,2.58296378951844e-13,-1.39219728946982e-13
"b9",6.70335440149633e-16,-2.29487167551467e-10,9.44588285677552e-11,4.84163246392259e-11,4.12379236662264e-21,2.13652405761159e-17,-3.54827763723254e-10,1.01198437051833e-20,1,-7.9579041155094e-11,5.88047358146512e-18,-7.49073428361974e-22,4.32109570196534e-21,-2.75628156812727e-21,5.65008004629697e-11,0,1.83886990880902e-19,1.86863145996021e-10,-8.60613496939646e-11,-6.55484285855507e-18,-9.66284071929547e-11,-8.0183519953897e-11,3.34107657106305e-17,0,1.70736641589419e-08,1.0797741386052e-21,-2.78362681706625e-20,6.84479253749279e-21,-4.06268814819113e-21,-1.58773717253709e-10,4.18089849841845e-10,9.74941494066502e-22,-2.12741859544605e-12,1.9884245901262e-11,-4.26630007019545e-12,1.25651946776343e-13,-1.08051948553921e-12,-2.65645285580636e-12,-2.5594245858162e-16,-1.23321647463439e-12,1,0.10223522331357,-0.274822888847115,-0.0590249841189231,-0.010133556530206,-0.00553614240354659,-0.00248296890713435,-0.0132402285567562,4.62297409074752e-11,7.51338989540613e-12,-1.14598963712532e-11,-2.62769405064185e-12,4.98557922470683e-13,-1.35141640716604e-12,-6.34586220135467e-13,6.9951564941952e-15,-5.07358600169132e-11,-1.5671035929678e-11,1.53137940360498e-12,1.51766349377538e-11,1.50646300035344e-12,7.12236073316574e-13,-2.39187346382898e-12,1.0020472825563e-12,2.76810386970862e-13,3.38816626149414e-13,3.72003936026488e-13,-9.23947978392792e-13,2.98260025717807e-13,9.51493980003487e-14,4.73828627746369e-14,9.7811603814194e-14,1,0.0266326527367484,0.0923649521122692,-0.179448777647624,-0.0308082138400236,-0.0168310758915488,-0.00754876501721995,-0.0402531718691456,-1.54268914320385e-13,-2.79363262137712e-13,1.33079119331181e-13,1.03445231851485e-14,5.00231371130392e-14,-2.15761992967938e-14,1.2025541534338e-15,6.35004606009999e-15,-8.7527033521795e-13,7.98494466523421e-13,1.54459036560299e-13,-1.13190173554159e-13,7.46998256387919e-14,3.03328596519523e-14,-8.18943747183617e-13,-2.20303022026419e-13
"b10",2.9513495171622e-17,-1.01038267645184e-11,4.15881920723873e-12,2.13166671561233e-12,1.84606538203744e-22,9.40666682080286e-19,-1.5622303827062e-11,-9.16356971965178e-13,-7.9579041155094e-11,1,2.58904904679006e-19,-3.1766040926936e-23,-7.97616711997397e-13,-1.21353153536764e-22,2.4876088106611e-12,0,8.09614899139238e-21,8.22718270464126e-12,-3.78909626061494e-12,-2.88602016921453e-19,-4.25434109116528e-12,5.75753623716726e-19,1.47100420652412e-18,0,7.51716737536266e-10,5.03610988773215e-23,-1.22557106076069e-21,3.00545769479492e-22,-1.78871427477064e-22,-6.99046552801337e-12,1.840759751352e-11,4.18350109760573e-23,2.79428603759055e-11,1.11968690315794e-11,-4.49215924799179e-12,-3.3309375525725e-12,-1.00601153466464e-12,-8.81930802926934e-13,-1.74953632744387e-13,-5.54723649679034e-13,0.10223522331357,1,-0.386770340593197,-0.0830684565852185,-0.0142613998678093,-0.00779125673245537,-0.003494391365302,-0.0186335560689907,3.32286739243916e-11,6.06469603826756e-12,-8.37542470749068e-12,-1.9349496889151e-12,-2.6286080341604e-13,-2.64025846585117e-13,-5.0588183477661e-13,-2.4041977179608e-14,-7.26873957987292e-11,-4.90715311893673e-12,1.01383704629273e-11,9.79965407140785e-12,8.69030101085773e-13,3.23871417384107e-13,-1.85609078197273e-12,6.54742469985138e-13,1.31018839117476e-11,-1.6811809383302e-12,4.88576118967412e-13,-2.01389476026448e-12,1.52261833179552e-12,-2.37133278327091e-13,-1.09545683990688e-13,-1.18821380933903e-12,0.0266326527367483,1,-0.424306163980929,-0.0813511913236152,-0.013966575483909,-0.00763018892060262,-0.00342215218837456,-0.0182483465703588,-1.34434150925859e-11,-1.07819532663307e-11,3.99341037524514e-12,2.08053123424422e-12,8.29450235026153e-13,5.30204100620203e-13,1.27720800390382e-13,5.61527280965108e-13,3.22148465396825e-12,-4.65489381682124e-12,7.16269852479318e-12,-2.65004007541913e-12,-3.73332227762774e-13,-1.68190931079434e-12,1.94227614671326e-13,-4.61517431145606e-14
