"","b1.w1","b2.w1","b3.w1","b4.w1","b5.w1","b6.w1","b7.w1","b8.w1","b9.w1","b10.w1","b11.w1","b12.w1","b13.w1","b14.w1","b15.w1","b16.w1","b17.w1","b18.w1","b19.w1","b20.w1","b21.w1","b22.w1","b23.w1","b24.w1","b25.w1","b26.w1","b27.w1","b28.w1","b29.w1","b30.w1","b31.w1","b32.w1","b1.w2","b2.w2","b3.w2","b4.w2","b5.w2","b6.w2","b7.w2","b8.w2","b9.w2","b10.w2","b11.w2","b12.w2","b13.w2","b14.w2","b15.w2","b16.w2","b17.w2","b18.w2","b19.w2","b20.w2","b21.w2","b22.w2","b23.w2","b24.w2","b25.w2","b26.w2","b27.w2","b28.w2","b29.w2","b30.w2","b31.w2","b32.w2","b1.w3","b2.w3","b3.w3","b4.w3","b5.w3","b6.w3","b7.w3","b8.w3","b9.w3","b10.w3","b11.w3","b12.w3","b13.w3","b14.w3","b15.w3","b16.w3","b17.w3","b18.w3","b19.w3","b20.w3","b21.w3","b22.w3","b23.w3","b24.w3","b25.w3","b26.w3","b27.w3","b28.w3","b29.w3","b30.w3","b31.w3","b32.w3"
"b1",0.672504973277503,1.95948054257958e-11,-1.58726111073219e-23,-1.40707247896265e-19,7.74510189278041e-12,6.52291571666902e-12,0,1.04006795856058e-19,1.21553289418038e-09,-1.35682363035255e-23,-4.9443720381165e-13,2.23586637529441e-14,-2.2018937915753e-22,-1.25803537345626e-13,-3.92733980582286e-24,1.20168656595813e-25,-4.55015535159926e-20,-1.29918721436596e-11,-4.49133210897735e-23,-6.16262127995629e-13,-3.47403401520923e-12,-2.39218404435359e-12,2.35388738572388e-23,3.46262404551223e-13,1.08462018665275e-07,-1.53181216422908e-22,-2.22000642234401e-18,-2.22362238937456e-12,2.0369178942998e-18,-1.9503227406923e-22,-1.06111525521109e-17,-9.91770972732948e-13,0.00415246198992226,-0.000228230252995832,-2.8313412998575e-05,-1.19599105877903e-05,-3.63747142235974e-06,-1.33412170191459e-06,-5.66445680566848e-07,-5.80347776343296e-07,-1.357374628283e-16,-3.29900794797362e-16,-9.14109080247692e-17,1.04323171809863e-16,-1.47483416043189e-17,-4.10790656845588e-17,-8.66211659265938e-18,-4.29285141259827e-18,6.92619827589145e-14,-1.10663722884172e-13,6.92583110493609e-15,2.26019816864584e-15,-1.0733453914998e-15,6.73985001979781e-16,5.91251021687577e-16,4.44535343516188e-19,-4.48095631705167e-12,3.04051153607494e-13,3.69577897921747e-14,6.38453039048547e-15,7.82671311382637e-16,1.19863176671165e-16,1.27554038568677e-16,6.03187098700162e-16,0.000616563791836946,7.04216457345373e-06,7.04216456658879e-06,-1.19599105896916e-05,-3.63747142106415e-06,-1.33412170259784e-06,-5.66445681500617e-07,-5.80347776312669e-07,6.05396124967198e-16,-3.06631088895156e-15,4.2083008598639e-16,-5.15403992859134e-19,-2.27092790963689e-19,4.91679257770024e-21,5.01360113539504e-19,-8.62192757812574e-20,-2.80402898941555e-16,-9.27059169461979e-16,1.47243112097362e-15,-3.09230472479357e-16,-6.45877362655656e-17,5.3398239603471e-17,-1.43714547408075e-17,5.93040564388012e-18,1.12272369992582e-15,1.59117453196472e-15,-2.91966082583132e-16,-2.80001110241564e-16,6.61715837037683e-16,-8.56204777968516e-17,3.58045437104762e-16,-4.95698638700108e-17
"b2",1.95948054257958e-11,0.000512584341334439,7.8682901720829e-33,-6.6477949626704e-16,-5.90332853688002e-15,-6.11809255893527e-22,0,4.91392331747885e-16,-9.26481035547393e-13,1.03417305123379e-26,4.637883511529e-23,1.70418035673084e-17,1.69956464323189e-25,9.58876490379466e-17,1.68108290445265e-26,3.67549441110993e-36,-3.62086231238829e-22,-9.90242241266086e-15,6.3193184700134e-26,4.69715938765072e-16,3.25868784820804e-22,-6.97029747299758e-23,-3.94442990357054e-32,-2.63921735612588e-16,-8.26699169125348e-11,-4.68899070930974e-33,1.69226601559746e-21,-6.80835423093757e-23,9.51811872372077e-15,-1.4738253326513e-25,-4.95716490932769e-14,-3.03429080067469e-23,-0.000228230252995832,0.000652472393893245,-2.83134130129674e-05,-1.19599105881404e-05,-3.63747142062973e-06,-1.33412170285089e-06,-5.66445681324985e-07,-5.80347776156985e-07,4.83350462985036e-18,-1.8932982452523e-16,4.91600627246778e-17,-2.03813097305528e-17,4.50355018173608e-18,1.43812234553671e-17,1.79125912061166e-17,-4.90862207320266e-18,-1.80258991488145e-14,2.36075263296831e-14,-1.53902746875704e-15,-4.5332691239146e-16,2.23140808269542e-16,-1.38793906904594e-16,-1.18792450276579e-16,4.44535316812838e-19,2.90998629437356e-13,-1.40468485739337e-14,-9.62968092506345e-15,4.89842828222013e-16,8.54228826858535e-16,3.57115366710045e-16,-4.690039821852e-16,-3.0644938518115e-17,7.04216457345369e-06,0.000645879584684476,-3.58454309148111e-05,-1.19599105898676e-05,-3.63747142054826e-06,-1.33412170271792e-06,-5.66445681009834e-07,-5.80347776275384e-07,7.01933249406291e-18,-2.42280408655969e-17,4.33989872514389e-18,-6.2395702929105e-19,-4.08677483969004e-19,-1.06045714380116e-18,1.57872996628599e-17,-1.97812720736068e-18,-2.51816611187091e-17,2.94487612363466e-16,-1.33740062119618e-16,-5.33304004527718e-17,2.03085865796571e-16,-9.84799621559664e-18,-2.03777578871199e-18,-1.72721511037277e-17,1.06521202243033e-13,5.31231002314058e-14,-8.04530921832106e-16,-3.28522568951731e-15,-6.29837665965969e-16,-1.88307338240336e-16,-5.26543578311862e-17,-7.82769448495076e-17
"b3",-1.58726111073219e-23,7.8682901720829e-33,8.68427913337918e-05,-1.76655052054295e-27,-2.60424681599881e-26,-4.02734559190341e-27,0,-2.74824173244348e-34,7.50488349197871e-25,4.56224290930416e-38,3.05272914711302e-28,-1.38045729321281e-29,-1.29854023115863e-37,-5.05153848078770e-35,1.53381093634491e-16,-3.24556917132373e-18,-1.38428867349527e-33,8.02137589979559e-27,3.55859803369697e-16,1.74604798142645e-27,2.14492049031392e-27,1.47696937791952e-27,-4.52230143275059e-26,1.39037364605177e-34,-2.86648800086427e-22,5.98243860000054e-15,1.77732946392545e-15,2.87143713725237e-16,3.71271204716437e-26,3.26077916903392e-26,4.01551069774989e-26,1.28070665957829e-16,-2.83134129985755e-05,-2.83134130129675e-05,5.82245667619702e-05,-1.19599105897864e-05,-3.63747142063007e-06,-1.33412170260596e-06,-5.66445681352416e-07,-5.80347776259468e-07,3.94886935343446e-17,2.04560081617976e-16,-2.34337806751179e-17,2.7800638258749e-19,-1.52665436506341e-18,-9.63773485808163e-19,-7.1937279099688e-19,2.00789796481898e-19,-2.1606038088745e-15,-1.2580106365629e-15,1.70027601892518e-16,3.064956882703e-17,-2.98968084204585e-18,5.37123786664899e-18,-1.41100383892839e-18,-4.49216873182511e-19,-2.68726229717077e-14,9.22034572125499e-16,9.66443235310486e-16,-7.174971784641e-17,-2.60982194332506e-17,-1.12852157834286e-17,4.41456915351166e-17,-5.07492342813482e-18,7.04216456658887e-06,-3.5845430914811e-05,6.08315412980148e-05,-1.19599105898176e-05,-3.63747142069278e-06,-1.33412170261348e-06,-5.66445681409716e-07,-5.80347776246378e-07,1.12290975051394e-17,-2.00182758108467e-17,8.54966374286909e-18,-1.28857001473486e-18,-9.08662922356979e-19,4.31790066366464e-19,-2.54691447363626e-19,8.11449318376867e-20,-5.7687203107046e-17,1.18787548603184e-16,1.09584010673114e-16,-1.07820621209347e-17,-1.93441224016128e-17,-2.59928091758333e-18,-1.90261821181914e-18,1.31013604504458e-18,-5.60944314531828e-15,-1.14403064878839e-15,-6.12876030998368e-16,2.11088211210079e-16,1.17899807390159e-16,1.13695963767756e-17,-3.27860385016509e-17,4.77265482841463e-18
"b4",-1.40707247896265e-19,-6.6477949626704e-16,-1.76655052054295e-27,2.28156139786312e-05,-2.62762748736234e-16,-3.56950850841202e-23,0,-3.52848723107666e-24,6.65368186651267e-21,4.60320227670657e-28,2.7056892872019e-24,-1.22374538916739e-25,7.69260356093438e-29,2.13402472935506e-18,1.57487715088908e-27,-4.07687942105377e-30,-1.6116800686161e-23,7.11220860451596e-23,6.47717973533151e-27,2.09075016618071e-17,1.90108198692655e-23,3.88534709686257e-28,1.02839613631523e-26,-1.1747406614569e-17,-3.6797163617091e-12,5.19687384861327e-27,-4.6694556677653e-16,7.54393085165219e-17,4.23660470088429e-16,3.18213236006579e-16,3.5600726837192e-22,3.36471321530181e-17,-1.19599105877903e-05,-1.19599105881404e-05,-1.19599105897864e-05,1.0913552258321e-05,-3.63747142064466e-06,-1.33412170262842e-06,-5.66445681389144e-07,-5.80347776253098e-07,7.92566970656145e-18,-2.33994719753428e-17,3.63711013699488e-18,-5.10407734189225e-19,3.15120724995692e-19,3.63414147652101e-20,-3.64724598365521e-19,1.28943679699089e-19,2.42326459184103e-15,2.66322476528874e-16,-4.97975712989173e-17,-1.47639451650979e-17,6.39059990750135e-19,-2.26530090994318e-18,-6.06015781338508e-19,3.94046892091371e-20,3.22238923918711e-14,-2.52921592740019e-15,-1.44714589683903e-16,-5.02480054165927e-17,-2.7103434048631e-17,-1.02878217511878e-17,4.98407700422167e-18,-2.40999046530709e-18,-1.19599105896915e-05,-1.19599105898677e-05,-1.19599105898176e-05,1.09135522583999e-05,-3.63747142063657e-06,-1.33412170262405e-06,-5.66445681378975e-07,-5.80347776250959e-07,-1.13063560205103e-17,8.6483393167253e-17,-1.65337159490115e-17,4.57867308098156e-19,1.86396310265026e-19,-3.09377632604269e-20,-5.88951150541364e-19,8.70267855243568e-20,2.39426261731401e-17,-2.38708563299044e-16,-3.68034207830048e-17,1.66711894957803e-17,-2.71221314564391e-18,-3.83203468066126e-20,3.2445690849301e-19,4.56247067152324e-19,-1.72063426828266e-15,-1.84056821431309e-15,1.50381493604266e-16,7.39204433213408e-17,-1.66183752239583e-17,8.57521096752487e-18,1.007141968952e-18,2.41915128891356e-18
"b5",7.74510189278041e-12,-5.90332853688002e-15,-2.6042468159988e-26,-2.62762748736234e-16,0.00020260563276912,1.96515883598449e-15,0,1.9422921513898e-16,-3.66203688477806e-13,-3.54934142880574e-16,-1.48959097758233e-16,6.73599467804829e-18,6.72045523318041e-26,3.79008413658305e-17,1.03064915822678e-26,4.21946917275386e-29,-1.43119295847267e-22,-3.9140613496279e-15,-8.30226660496312e-16,1.85661338663283e-16,-1.04662223735921e-15,-2.75598188508735e-23,1.05506006186187e-25,-1.04318501233045e-16,-3.26763606990624e-11,-1.85685087533607e-33,-4.14653763498596e-15,-2.69388007032364e-23,3.76216031431887e-15,-1.31833937014998e-25,-1.95938395340817e-14,-2.98790941184447e-16,-3.63747142235971e-06,-3.63747142062973e-06,-3.63747142063006e-06,-3.63747142064466e-06,1.36182733427236e-05,-1.33412170261912e-06,-5.66445681373005e-07,-5.80347776251495e-07,2.4332490731861e-17,3.87830743913808e-17,-9.94971800772621e-18,3.17904823253492e-19,8.64336283226867e-20,-1.78876311269103e-19,-1.42550426629811e-19,8.55740514941494e-20,-7.59863782199182e-16,-1.67433683379346e-16,3.49683949772959e-17,2.50739421804148e-18,-3.51529282184888e-18,1.45406761243517e-18,1.68188333422813e-18,1.46251787277348e-20,-5.98420733943543e-15,1.61708366489366e-15,-6.42853119506372e-18,-7.26718064660819e-18,-2.33087916170911e-17,-9.25452460861368e-18,5.23318428636136e-18,-6.56479705900026e-19,-3.63747142106413e-06,-3.63747142054832e-06,-3.63747142069277e-06,-3.63747142063657e-06,1.36182733427355e-05,-1.33412170262624e-06,-5.66445681370312e-07,-5.80347776252153e-07,-2.09299991764916e-18,-6.18121357816555e-17,1.33508272309786e-17,-1.7774564770438e-19,3.43226041178941e-19,-6.50282587624359e-20,-2.74687279392623e-20,-6.54016017029736e-20,-1.08305283964088e-17,4.75995366171068e-16,-2.19655815420017e-17,-1.48395230852596e-17,2.41665767091888e-18,2.01586346909838e-19,1.3497404538655e-18,-4.82964893799098e-19,-4.09150196342323e-16,1.32698556768419e-16,5.11455950240607e-17,-5.25548210612911e-18,-1.05228697534653e-17,-6.93890147619988e-18,1.01461415674484e-17,-7.01614603226271e-23
"b6",6.52291571666902e-12,-6.11809255893527e-22,-4.02734559190341e-27,-3.56950850841202e-23,1.96515883598449e-15,0.000170634170583255,0,2.63844930598369e-23,-3.79555929121716e-20,-3.44265831873086e-27,-1.25453176934778e-16,5.67304680059645e-18,7.78922759526238e-29,-1.59600161505594e-17,-9.96480963964225e-28,3.04903022038293e-29,-5.77254717252231e-24,-1.64820926285456e-15,-1.13958229597269e-26,-1.56363722889442e-16,-8.81464017326466e-16,-3.03483533743892e-16,5.97250063183308e-27,8.78568975970945e-17,2.75199858309755e-11,-3.88665539999668e-26,-5.63280547784556e-22,-5.64198024342344e-16,5.11036676202308e-22,-2.6497546195862e-26,-2.66189122831263e-21,-2.51641297591629e-16,-1.33412170191448e-06,-1.3341217028509e-06,-1.33412170260595e-06,-1.33412170262842e-06,-1.33412170261912e-06,6.98546674481113e-06,-5.66445681376745e-07,-5.80347776252075e-07,-7.06832706283559e-17,-2.50850622857217e-17,6.40935894812924e-18,4.02107688865034e-19,-6.9082359091511e-20,-3.91896622503796e-20,-2.59403835132464e-20,4.54482830211409e-20,-2.49880207376398e-16,-8.084637636209e-17,-1.36493941527982e-18,4.00640751642028e-18,1.19866018097256e-18,6.92161151178877e-19,7.64808953083467e-19,1.29918006619596e-21,-2.61138012051036e-15,6.71149210849884e-17,8.04243741086986e-17,-2.28353798908976e-18,-7.56502886167744e-18,1.03948597039684e-18,2.91239060947628e-18,-7.67055611584713e-20,-1.33412170259787e-06,-1.33412170271789e-06,-1.33412170261348e-06,-1.33412170262405e-06,-1.33412170262624e-06,6.98546674481166e-06,-5.66445681375764e-07,-5.80347776251469e-07,-8.4382776133649e-18,1.26307716682556e-17,-1.90657721310334e-18,1.86496100383028e-19,-1.30670215472795e-19,2.00536750577618e-20,2.53967650885679e-20,3.49998048157663e-20,5.11161826791054e-18,-1.35756826239179e-16,2.34048499479973e-18,5.02138224443827e-18,-1.33702348288598e-18,1.39714109645898e-19,2.68744098053468e-20,4.83889633297976e-20,-1.38641228271478e-15,-5.2839933069574e-16,3.08213980021373e-17,3.14329968827474e-17,1.0891012716288e-17,2.80939603298126e-18,-4.70877453554253e-18,7.89074425128043e-19
"b7",0,0,0,0,0,0,0.00122541686157082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.66445680566895e-07,-5.66445681324975e-07,-5.66445681352412e-07,-5.66445681389145e-07,-5.66445681373005e-07,-5.66445681376745e-07,8.95939534157701e-06,-5.80347776251892e-07,4.01724711145935e-18,-8.08178632183482e-18,9.12462896805072e-19,-3.73281303527981e-22,-1.677517813786e-19,3.02845145154969e-20,2.14185661187549e-19,9.13747842957653e-22,-1.78742664487402e-16,4.17750454784758e-17,1.52395920753896e-17,-4.10915452620302e-18,-4.26412014883407e-19,-3.82566511904687e-19,-2.00194930741135e-19,-2.87151769336542e-20,-7.27183894544162e-15,5.08051222304143e-16,4.52451433084752e-17,1.27113785907429e-17,2.96540324766949e-18,1.07312726930016e-18,-7.89437968005881e-19,2.62889374582367e-19,-5.66445681500619e-07,-5.66445681009857e-07,-5.66445681409716e-07,-5.66445681378975e-07,-5.66445681370311e-07,-5.66445681375764e-07,8.95939534157788e-06,-5.80347776251573e-07,-1.89506433999216e-19,5.07450833144126e-18,-7.50881964991423e-19,1.38882776610854e-19,-6.77142419936137e-20,-5.24338028180233e-20,-2.77664201102902e-20,1.18354723940383e-20,8.31635853392987e-18,-1.85591993634278e-16,1.50397210063287e-17,9.20323987925568e-19,1.77756551224711e-18,3.07172114699331e-19,1.03885068506135e-19,6.87397580694998e-20,-6.79185149451175e-18,9.1200601838973e-17,8.15409898135783e-18,-3.74147616810385e-18,-2.30084645074807e-18,-4.76563917656355e-18,-6.06148457754351e-20,1.22934447022462e-18
"b8",1.04006795856058e-19,4.91392331747885e-16,-2.74824173244348e-34,-3.52848723107666e-24,1.9422921513898e-16,2.63844930598369e-23,0,1.68648669460441e-05,-4.91753794690961e-21,-3.40259937769252e-28,-1.99996856527488e-24,9.04557787703608e-26,1.08938205815275e-29,-3.15486131219005e-18,1.38390480713324e-34,5.11893245557778e-41,-1.14107354146947e-24,-5.25596705302612e-23,-7.95901783655312e-28,6.31072510031796e-28,-1.4052257337336e-23,-5.99904346003961e-17,1.32131547803085e-33,8.68345904278531e-18,2.71997619261724e-12,-1.36893722534079e-38,-5.56711612245471e-23,-1.98718710108078e-28,5.05198792099774e-23,-1.55874249980258e-33,-2.6311436084955e-22,-3.75069429254397e-28,-5.80347776343344e-07,-5.80347776156988e-07,-5.80347776259478e-07,-5.80347776253095e-07,-5.80347776251494e-07,-5.80347776252075e-07,-5.80347776251892e-07,1.4198111185712e-06,4.08683512140229e-18,-8.30914100500828e-18,9.05851191822155e-19,-2.9388432138193e-20,4.95378910451818e-20,4.29022506372135e-20,-2.46123183677422e-20,-1.21132192063775e-20,-1.67921848944879e-16,5.80079561013083e-17,-6.88868797656866e-18,3.29192258918164e-19,3.65598789555041e-19,-1.66768898037501e-19,-1.22079105934236e-19,2.09781282462474e-20,3.3340623130359e-15,-3.81150112022973e-16,-3.78506699800349e-17,2.10833475024188e-19,4.12043583886677e-18,4.72580238957006e-19,-1.11416682579626e-18,2.60481828068269e-19,-5.80347776312666e-07,-5.80347776275659e-07,-5.80347776246364e-07,-5.80347776250952e-07,-5.80347776252154e-07,-5.80347776251469e-07,-5.80347776251572e-07,1.41981111857094e-06,-1.67612491929499e-20,6.74539585544514e-18,-1.31567831520438e-18,6.2120168865193e-21,1.51278111122279e-20,1.04849688084364e-21,-3.48638607389836e-20,3.19496752060758e-21,9.6590854845998e-19,-2.97003330231057e-18,-3.61767910799341e-18,1.07739515546898e-18,-2.26925217109035e-19,-5.31071468539996e-20,-3.57511599083112e-20,3.19973130855074e-20,3.40551022985757e-18,-7.57661759951233e-17,6.12537043237747e-18,2.23381797370146e-18,-1.71844710277262e-18,8.90067299435294e-19,8.90777724573811e-20,3.63346378076496e-21
"b9",1.21553289418038e-09,-9.26481035547393e-13,7.50488349197871e-25,6.65368186651267e-21,-3.66203688477806e-13,-3.79555929121716e-20,0,-4.9175379469096e-21,0.0317973622751339,6.41532964869205e-25,2.87715440183777e-21,5.28580656800708e-16,-5.77368819425769e-15,5.94823929207321e-15,1.22852594374437e-24,-5.68181102006258e-27,-2.24614490956153e-20,-3.07140551323585e-13,4.54307078245072e-24,2.91380884932638e-14,2.02155449366737e-20,-4.32324262110985e-21,-1.1129643677794e-24,-1.63719692114123e-14,-5.1282980966327e-09,7.24270993932723e-24,1.04978364837513e-19,1.05137250876835e-13,5.90441504686724e-13,-3.62971673531917e-24,-3.07509917972043e-12,4.68928870624706e-14,-1.357374628283e-16,4.83350462985085e-18,3.94886935343446e-17,7.92566970656144e-18,2.43324907318609e-17,-7.06832706283559e-17,4.01724711145936e-18,4.0868351214023e-18,0.000168949653199471,1.22731938043068e-05,-9.52931339336334e-06,-4.85889903391001e-07,-8.02431402478958e-08,-3.58148867408712e-08,-2.10945294190181e-08,-5.11628819752978e-08,8.0593707062658e-18,-9.62725245346489e-18,1.56939939777853e-18,1.20282535893253e-18,-3.58660376634332e-18,2.90478086855544e-19,1.12422304612521e-19,6.58573444234179e-20,-1.3267071049869e-14,1.6210734848197e-14,-1.73050457143929e-15,-5.97417801098492e-17,-1.27858894327941e-16,4.98757934894616e-17,-1.87552619795395e-17,-1.96646764835723e-17,6.05396124967198e-16,7.0193324940632e-18,1.12290975051393e-17,-1.13063560205102e-17,-2.0929999176492e-18,-8.4382776133649e-18,-1.89506433999214e-19,-1.67612491929428e-20,1.82788156850326e-05,1.0738387389427e-06,1.07383873888967e-06,-4.85889903392346e-07,-8.02431402497199e-08,-3.58148867404112e-08,-2.10945294191879e-08,-5.11628819747011e-08,7.21315641207425e-16,4.70897495165327e-17,-4.30775547785865e-17,-7.42156843711821e-18,1.39279256004396e-18,6.27808832159772e-19,2.32866199947346e-19,-2.72633146870326e-19,-3.1307189222808e-17,-1.59996235773319e-16,2.21998643296624e-16,-5.06085973663734e-17,7.8857118555438e-19,1.3769499176628e-19,-1.08650594630304e-17,7.11879816019998e-19
"b10",-1.35682363035255e-23,1.03417305123379e-26,4.56224290930417e-38,4.60320227670657e-28,-3.54934142880574e-16,-3.44265831873086e-27,0,-3.40259937769252e-28,6.41532964869205e-25,6.16376493558385e-05,2.60953602150495e-28,-1.18004344934756e-29,-1.17732117580085e-37,-6.63964888871736e-29,-1.80554000688949e-38,-7.39186593074158e-41,2.50723160590051e-34,6.85683804208579e-27,1.45443038336283e-27,-3.25250325984797e-28,1.83352240339815e-27,4.828059589501e-35,-1.84830418397698e-37,1.82750090980592e-28,5.7243996223909e-23,3.25291930380576e-45,7.26410100884471e-27,4.71926668925818e-35,-6.59073061440374e-27,2.30952934513485e-37,3.43254160593544e-26,5.23436121495363e-28,-3.29900794797362e-16,-1.8932982452523e-16,2.04560081617976e-16,-2.33994719753428e-17,3.87830743913808e-17,-2.50850622857217e-17,-8.0817863218348e-18,-8.30914100500827e-18,1.22731938043068e-05,8.53015219197117e-05,-9.52931339344743e-06,-4.85889903389378e-07,-8.0243140249424e-08,-3.58148867397446e-08,-2.10945294202361e-08,-5.11628819748115e-08,1.40640538242086e-17,-3.6225698452017e-18,7.57408233718353e-18,7.20750829456654e-18,-2.52802706101249e-17,1.975482112837e-18,7.33703974512696e-19,4.42970540625423e-19,-1.32546340278705e-15,1.23761087177907e-15,-9.34094211687337e-17,3.02777453262621e-17,-9.4947332010348e-17,-3.10047564345836e-17,5.67458126944783e-18,4.2238545948041e-18,-3.06631088895156e-15,-2.42280408655971e-17,-2.0018275810846e-17,8.64833931672528e-17,-6.18121357816553e-17,1.26307716682556e-17,5.07450833144125e-18,6.74539585544508e-18,1.07383873894269e-06,8.89408402417655e-05,-1.08814754309426e-05,-4.85889903391427e-07,-8.02431402487821e-08,-3.58148867395236e-08,-2.10945294200719e-08,-5.11628819745433e-08,7.05501188254207e-17,-2.51540674996869e-16,-6.64824371658552e-19,1.79541216091259e-17,-2.79756194267243e-17,1.14630988200156e-18,6.98267258258678e-19,2.50710303963141e-18,2.43510251123456e-16,9.0052476485498e-16,-9.45738105071257e-16,1.27851280187778e-16,2.90445715093161e-17,1.56236166423937e-17,-4.05600951218903e-18,3.91533964774641e-18
