p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
23671142.4420903,56457152.7521466,71522956.5818747,59825036.2097098,135698434.015988,110017143.247288,87977544.5504312,94098116.9845109,53636146.7097141,81162325.1476586
18794090.3801975,56272498.5205631,71522956.5818747,59825036.2097098,126006380.781072,109954595.68364,87874924.0778166,94098116.9845109,38811595.4786355,81162325.1476586
18794090.3801975,55434991.7406325,71522956.5818747,59770989.8314898,121479325.111079,109262583.944462,87874924.0778166,94098116.9845109,38803027.4836941,81162325.1476586
18661366.1420378,55434991.7406325,71504029.5184104,59770989.8314898,121479325.111079,66474696.7693943,79864625.7513722,94098116.9845109,25549864.8742955,22558829.0862877
18661366.1420378,47216044.2055257,71038773.7357107,59770989.8314898,96259283.1814766,66474696.7693943,77739018.5382158,94098116.9845109,12505901.5037152,18564329.6502381
17545818.8698409,47197951.9742456,71036322.5395368,59768231.7412111,95620754.8142565,66474696.7693943,77739018.5382158,62065182.6368055,12505901.5037152,18460070.6768175
17409775.657227,47197951.9742456,71036322.5395368,59232788.5589362,95620754.8142565,38382973.0772831,76832136.7293715,62065182.6368055,12503968.9563599,18460070.6768175
17409775.657227,46123183.5878677,71036322.5395368,59232788.5589362,95608335.7594447,38382973.0772831,76207947.4721323,62056918.6229392,12503968.9563599,17912923.4581153
17388769.5185428,46123183.5878677,70074538.9862118,58657101.4586121,95608335.7594447,23650014.6720479,76207947.4721323,62052147.2004505,12503968.9563599,17912923.4581153
17387854.5397778,46123183.5878677,70074538.9862118,58657101.4586121,95608335.7594447,23380996.4427976,76207947.4721323,54643098.7344963,12471680.420486,17710205.5377159
17387854.5397778,46123183.5878677,60146064.6227912,49713743.9493803,95608335.7594447,23380996.4427976,76207947.4721323,54455659.3146611,12471680.420486,17649576.8529681
17387854.5397778,46122248.3782441,60138020.5923932,49571654.5676488,95608335.7594447,23380996.4427976,33564348.9233696,54453088.8523319,12471680.420486,17649576.8529681
17387854.5397778,46122248.3782441,60138020.5923932,49571654.5676488,95608335.7594447,23380996.4427976,32573353.4945674,54076069.6328629,12471680.420486,16648714.4349615
17387854.5397778,46122248.3782441,60138020.5923932,49489493.5590673,95608335.7594447,23119365.9244673,32554770.1594611,53898796.170252,12462318.8992611,16648714.4349615
17387854.5397778,46122248.3782441,59824226.9081933,48914617.3214825,88438860.3564564,23119365.9244673,32554770.1594611,53898796.170252,12462318.8992611,16562327.45589
17387854.5397778,46102329.9861469,28455649.0990575,48914617.3214825,88438860.3564564,23116630.0728985,26363563.8945196,52357537.6234729,12462318.8992611,16561774.780742
17323314.3490463,37885603.8555777,28455649.0990575,48912621.0095278,88438860.3564564,23116630.0728985,26363287.8898662,52357537.6234729,12462318.8992611,16561774.780742
17299008.3438959,37885603.8555777,26260061.8777095,45865497.8290967,88104542.4484758,23116630.0728985,26363287.8898662,48115032.7618506,8839618.01029134,13163427.3276953
17299008.3438959,37877121.71971,26260061.8777095,32513500.9415258,86839488.8108109,22515543.6176156,26363287.8898662,46770661.2578363,8839288.68204726,13163427.3276953
14118190.241828,37648850.9774464,25136391.0052175,32495264.4775317,86790177.3938186,22423548.665298,26363287.8898662,46536302.8565819,8839288.68204726,10733183.3740972
14115818.7641038,37648850.9774464,25136391.0052175,32495264.4775317,86773845.450652,22423548.665298,26353439.0103014,27657025.6908343,8839288.68204726,10484949.4440825
14115818.7641038,37648850.9774464,25136391.0052175,32495264.4775317,62922048.0118028,22423409.3378564,26050047.8400784,26821562.9715004,8839288.68204726,10484949.4440825
14113226.3559601,12107395.953185,25136391.0052175,22332466.407181,62922048.0118028,22423409.3378564,26050047.8400784,26615374.64255,8839288.68204726,10484949.4440825
14113226.3559601,12107395.953185,20907521.9467613,22332466.407181,62851500.404926,20910469.7626719,26050047.8400784,26615374.64255,8839288.68204726,10233682.4600248
14113226.3559601,12107395.953185,14825278.4660719,22330819.3221249,62578406.350921,20910469.7626719,26050047.8400784,26615374.64255,8831420.28964707,10154160.531323
12692035.7114122,12107395.953185,14825278.4660719,22330819.3221249,60476000.9331726,20910469.7626719,25703836.7180082,26615374.64255,8788067.47325051,7687292.58158515
12692035.7114122,12066509.9959523,14825278.4660719,22330819.3221249,54663403.3578432,20695291.470048,17114344.2874016,26615374.64255,8461437.8553959,7687292.58158515
12692035.7114122,10128155.3211318,14825278.4660719,22330819.3221249,54663403.3578432,18641891.4554508,17114344.2874016,26476133.6632122,8461437.8553959,7687292.58158515
12692035.7114122,10128155.3211318,14825278.4660719,17899109.3560657,45205825.2528185,18641891.4554508,17100702.3230192,26476133.6632122,8400259.49189593,7687292.58158515
12691728.9000335,10128155.3211318,14825278.4660719,17350956.3043983,45167580.9215641,18641891.4554508,16964804.7926654,26476133.6632122,8089809.94641778,7631925.51536895
10957330.3184257,10128155.3211318,14825278.4660719,17350956.3043983,45167580.9215641,18641891.4554508,16752602.5829441,26476133.6632122,8089809.94641778,7631925.51536895
10957330.3184257,10128155.3211318,14825278.4660719,17350956.3043983,42277332.6371205,18378397.2052046,16752602.5829441,26476133.6632122,8089809.94641778,7359311.19554219
