p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
61323375.574449,78267755.3685894,53711382.3253276,107486306.131638,118021995.559611,180567613.763349,184488078.672211,250414325.724339,61919616.9900254,60173267.5771164
61235680.4031864,78267755.3685894,53690456.8412703,107486306.131638,115903446.126105,166323483.235509,184488078.672211,250414325.724339,61919616.9900254,60173267.5771164
48576226.8394371,74200617.6757656,53690456.8412703,107325669.887352,115903446.126105,153397801.295299,184043219.786039,250245850.89646,61919616.9900254,60145643.0651428
48293198.7997402,72654284.8151006,53690456.8412703,107146709.325067,115827117.005828,143646597.205959,163642920.498963,170359747.482333,61919616.9900254,60145643.0651428
45542979.6873566,72654284.8151006,53690456.8412703,106855555.639584,115827117.005828,129464279.32103,163642920.498963,116749341.229173,61888227.6326309,59688633.846204
45423107.5760713,72654284.8151006,50375207.1788417,106855555.639584,115601076.261375,129438928.226106,163642920.498963,116611601.120598,61886473.2274914,59688633.846204
37057585.2992017,64874429.5370103,50334411.2206999,106801567.847658,115601076.261375,119274751.829938,163635221.870366,116486421.640994,61824392.2623876,59684658.9454336
34910340.8544727,64874429.5370103,50334411.2206999,84374542.670333,115587788.919398,119250861.467268,153731803.13241,116486421.640994,61796561.6968545,59684658.9454336
34910340.8544727,64664777.3682223,50334411.2206999,62161870.7205884,114310406.055696,118638991.740033,152037083.043493,116417292.440777,61796561.6968545,59634538.4719086
34910340.8544727,63410079.2026449,49707860.1672453,62161870.7205884,114310406.055696,105896419.913091,152037083.043493,116417292.440777,61796561.6968545,59530881.8663721
34910340.8544727,63409830.4775973,49707860.1672453,62161870.7205884,95374714.026065,105896419.913091,117404149.794569,116312496.790425,53769568.1867053,59430213.3221744
34910340.8544727,63409830.4775973,49707860.1672453,62144178.6202594,95374714.026065,96398582.024826,117404149.794569,83255701.0735108,45845070.1752999,59424572.619635
34910340.8544727,63409830.4775973,41410014.063961,62144178.6202594,94383923.7350925,71208537.1992055,117404149.794569,83226098.3931888,45824957.4464986,59424572.619635
24387868.2877267,33645609.4039471,41410014.063961,62144178.6202594,94192452.0637492,70804401.7014476,88764174.3663826,83220779.927625,45824957.4464986,59410660.0981539
24384340.4257146,33179586.0028798,41410014.063961,60933053.3457004,94049993.7927282,70804401.7014476,88752657.1653965,83220779.927625,39752434.3376503,59410660.0981539
24384340.4257146,33179586.0028798,41410014.063961,60933053.3457004,93912970.8807085,70742658.2598109,88752657.1653965,83219812.2572414,13652173.6365964,58697710.0032369
24384340.4257146,33179586.0028798,41410014.063961,60933053.3457004,90207837.2205111,70704798.7052459,88752657.1653965,83219812.2572414,13652173.6365964,58697710.0032369
24384294.9862166,27419347.7441326,41410014.063961,60933053.3457004,90133657.7035566,70704798.7052459,88553460.8907304,83219812.2572414,13632464.0049555,37199135.8147067
24298432.7362226,27419347.7441326,41410014.063961,60454375.5530624,90133657.7035566,28958117.3978473,88553460.8907304,83219812.2572414,13632464.0049555,37195273.1156749
24298432.7362226,26714513.6266305,41314288.0240631,60454375.5530624,56473387.8781015,28958117.3978473,88461225.0101922,83219812.2572414,13632464.0049555,37190876.0682833
17459436.9673379,26714513.6266305,41119082.3151307,53903582.8953922,56473387.8781015,28958117.3978473,88461225.0101922,78917685.6228789,13632464.0049555,20311021.5263451
