p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1711.20611731674,-1739.27656714114,-1698.35422010667,-1723.30831310199,-1753.70012453596,-1658.08272853757,-1748.56034447649,-1694.60526339482,-1722.14186046473,-1635.92372156832
-1711.20611731674,-1739.27656714114,-1698.35422010667,-1735.26135249626,-1753.70012453596,-1669.9032026147,-1762.26825565731,-1705.55985217006,-1733.82795763883,-1635.92372156832
-1735.4449354946,-1743.92503193875,-1699.86464092054,-1735.94538534091,-1753.70012453596,-1669.9032026147,-1762.28824834452,-1705.72841552776,-1733.82795763883,-1639.48807341575
-1735.4449354946,-1744.70813169094,-1739.16557899546,-1735.94538534091,-1759.97980515652,-1719.56705289549,-1762.28824834452,-1712.79115587344,-1735.69799472356,-1703.62831246883
-1735.4449354946,-1744.70813169094,-1740.99057391654,-1760.99270281557,-1759.97980515652,-1719.56705289549,-1764.08295286109,-1712.79115587344,-1737.61181917958,-1703.62831246883
-1738.39920081354,-1745.82557386718,-1752.20163851248,-1761.0524396168,-1759.97980515652,-1719.56705289549,-1764.28678142015,-1717.55970415174,-1737.61181917958,-1738.54842422575
-1738.39920081354,-1752.10421998217,-1752.20163851248,-1761.0524396168,-1759.97980515652,-1725.25241853372,-1764.28678142015,-1717.55970415174,-1737.61181917958,-1751.04050083841
-1740.10568966899,-1752.10421998217,-1752.20163851248,-1761.0524396168,-1759.97980515652,-1725.25241853372,-1764.28678142015,-1748.30701907529,-1747.1874935907,-1758.09436200586
-1740.10568966899,-1752.10421998217,-1752.20163851248,-1761.0524396168,-1759.97980515652,-1757.88491598928,-1767.53889074834,-1748.30701907529,-1747.1874935907,-1758.09436200586
-1740.10568966899,-1753.07552859565,-1752.20163851248,-1766.0146157542,-1761.5616344865,-1757.88491598928,-1767.53889074834,-1759.73888441396,-1747.1874935907,-1758.09436200586
-1740.10568966899,-1759.18736881282,-1753.97702280501,-1766.40826641099,-1764.41175724205,-1757.88491598928,-1769.12048393462,-1759.73888441396,-1747.1874935907,-1758.09436200586
-1740.10568966899,-1759.18736881282,-1753.97702280501,-1769.26119190519,-1764.41175724205,-1762.99320491926,-1769.12048393462,-1759.73888441396,-1747.1874935907,-1758.09436200586
-1740.10568966899,-1762.23108626544,-1764.05891192335,-1769.26119190519,-1764.41175724205,-1762.99320491926,-1769.48056492044,-1768.00219073616,-1752.47681755482,-1758.22575367163
-1740.10568966899,-1762.23108626544,-1764.05891192335,-1771.03894889502,-1765.89389571199,-1762.99320491926,-1769.48056492044,-1768.57285533724,-1752.47681755482,-1758.22575367163
-1762.84400910855,-1762.23108626544,-1765.49188955189,-1773.10507129566,-1765.89389571199,-1766.02615804466,-1769.48056492044,-1768.57285533724,-1752.47681755482,-1761.37271203556
-1762.91638177659,-1762.23108626544,-1765.49188955189,-1773.10507129566,-1770.30096898505,-1770.660694969,-1769.48571720366,-1768.57285533724,-1753.95971231974,-1763.98394299155
-1768.48187825942,-1770.27956685938,-1769.46689485346,-1773.10507129566,-1770.30096898505,-1770.660694969,-1771.82938210117,-1768.57285533724,-1753.95971231974,-1763.98394299155
-1768.48187825942,-1770.3802406853,-1769.46689485346,-1774.22053391911,-1770.30096898505,-1770.660694969,-1771.82938210117,-1768.57285533724,-1753.95971231974,-1764.14543045336
-1768.51218735003,-1770.38814888726,-1769.94152548996,-1774.22066503232,-1770.36049184922,-1770.97058804517,-1771.91442122752,-1771.97246591986,-1753.95971231974,-1764.17977118665
-1768.56642976641,-1770.38814888726,-1769.94152548996,-1774.23324204147,-1772.46270080989,-1770.97058804517,-1771.91442122752,-1773.94349214606,-1753.95971231974,-1765.11598258453
-1768.56642976641,-1770.83865127396,-1769.94152548996,-1774.23324204147,-1772.46874759659,-1770.97058804517,-1771.92890624358,-1773.94349214606,-1757.45230136032,-1765.11598258453
-1769.18618156016,-1770.83865127396,-1769.94152548996,-1774.26917158738,-1773.51353246833,-1770.97058804517,-1771.92890624358,-1773.94349214606,-1764.48422055577,-1765.11598258453
-1769.20192405696,-1770.9660759057,-1769.94152548996,-1774.26917158738,-1773.51353246833,-1770.97058804517,-1771.92890624358,-1773.94349214606,-1764.48422055577,-1765.11598258453
-1769.20192405696,-1770.9734437463,-1769.94152548996,-1774.26917158738,-1773.51353246833,-1770.97058804517,-1771.92890624358,-1773.94349214606,-1769.21053773657,-1765.45998617838
-1769.38399274928,-1770.9734437463,-1770.6850939933,-1774.26917158738,-1773.51353246833,-1770.97058804517,-1771.92890624358,-1774.72273490662,-1769.21053773657,-1769.22738635508
-1769.38399274928,-1771.0690501852,-1771.56664439199,-1774.52769067329,-1773.51783026779,-1770.97058804517,-1771.92890624358,-1774.72273490662,-1769.21053773657,-1769.22738635508
-1770.39495015003,-1771.0690501852,-1771.56664439199,-1774.52769067329,-1773.51783026779,-1770.97058804517,-1772.18401969647,-1774.72273490662,-1769.27359606922,-1769.5778006819
-1770.73404861713,-1771.0690501852,-1771.56664439199,-1774.52769067329,-1773.51783026779,-1770.97058804517,-1772.18401969647,-1774.72273490662,-1769.27359606922,-1769.5778006819
-1770.73404861713,-1771.0690501852,-1771.71400131709,-1774.52769067329,-1773.51783026779,-1772.02393255589,-1772.18401969647,-1774.72273490662,-1769.27359606922,-1769.5778006819
-1770.73404861713,-1771.0690501852,-1771.86751899013,-1774.56811808581,-1773.51783026779,-1772.02393255589,-1772.18401969647,-1774.72273490662,-1769.27359606922,-1769.5778006819
-1770.73404861713,-1771.0690501852,-1771.86751899013,-1774.56811808581,-1773.51783026779,-1773.61590424201,-1772.33630400755,-1774.72386934698,-1769.27359606922,-1769.60216110221
-1770.73404861713,-1771.93343223319,-1772.95445591148,-1774.56811808581,-1773.51783026779,-1773.61590424201,-1772.33630400755,-1774.72386934698,-1769.27359606922,-1769.60216110221
-1770.84884380914,-1771.93343223319,-1772.95445591148,-1774.56811808581,-1773.78849526058,-1773.61590424201,-1772.33630400755,-1774.76366964804,-1769.27359606922,-1769.61007501501
-1770.84884380914,-1771.93343223319,-1773.07263005687,-1774.56811808581,-1773.78849526058,-1773.61590424201,-1772.33630400755,-1774.76366964804,-1769.8909258224,-1769.61007501501
-1770.84884380914,-1772.55970043923,-1773.07263005687,-1774.56897147017,-1774.51898594884,-1773.61590424201,-1772.42321232547,-1774.76366964804,-1770.55556506942,-1769.61007501501
-1770.84884380914,-1772.55970043923,-1773.07263005687,-1774.58091731512,-1774.51898594884,-1773.61590424201,-1774.87721452265,-1774.76366964804,-1770.55556506942,-1769.61007501501
-1770.84884380914,-1773.31797449718,-1773.07263005687,-1774.58091731512,-1774.51898594884,-1774.65874484198,-1774.87721452265,-1774.76366964804,-1770.55556506942,-1770.89671506261
-1771.72714831688,-1773.31797449718,-1773.3000743421,-1774.58091731512,-1774.51898594884,-1774.65874484198,-1774.87721452265,-1774.76366964804,-1770.55556506942,-1770.89671506261
