p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
566334503.478677,1122291647.34638,1977141284.22601,1824490980.47331,2677590298.04993,1762052805.23092,2634238103.30296,3159822982.92146,873583149.653642,1433726507.71035
565558098.23615,1027779907.64952,1977032150.80032,1815358907.35366,2663740276.72721,1762052805.23092,2634238103.30296,3159822982.92146,873583149.653642,1432938548.4994
565558098.23615,985208566.057089,1810074802.44344,1815358907.35366,2663740276.72721,1752983719.55744,2634238103.30296,3159822982.92146,873583149.653642,1364823390.41405
565558098.23615,978984628.934575,1808781662.01194,1810383391.44671,2634011003.83787,1752877363.23878,2634238103.30296,3159822982.92146,873583149.653642,1125432728.19635
565455952.908189,978943460.05104,1756209312.35384,1810383391.44671,2633243032.52191,1323262894.79865,2117297532.9764,3159822982.92146,846497492.000825,1125432728.19635
565447244.553179,953916145.837825,1755505332.11631,1810383391.44671,2633243032.52191,1323262894.79865,2117297532.9764,3146721537.19218,846497492.000825,1123895731.67405
565447244.553179,953916145.837825,1695108493.12357,1810383391.44671,2633243032.52191,1323262894.79865,2117297532.9764,3103129812.9134,731638251.380564,1123895731.67405
565447244.553179,822000328.836275,1694583718.86529,1722824306.85728,2633176460.73018,1322411879.63615,2117297532.9764,3103109877.69433,731547720.172681,1123895731.67405
565447244.553179,822000328.836275,1502985765.21485,1722824306.85728,2633176460.73018,1321397835.17547,2116361500.585,3064117415.1313,699335625.482101,726963826.908259
565447244.553179,822000328.836275,1502985765.21485,1711463749.88108,2575491931.55789,1321128256.26728,2088038765.48529,3064117415.1313,698603288.401714,725877698.693271
565447244.553179,821963291.347024,1502985765.21485,1711463749.88108,2575491931.55789,1321128256.26728,2088038765.48529,2927442537.39382,697483340.567919,725877698.693271
565122800.445761,821963291.347024,1457993108.70534,1711463749.88108,2262340050.87893,1321128256.26728,1829340939.59413,2560450830.73317,697483340.567919,725877698.693271
543988626.90044,821963291.347024,1457993108.70534,1711463749.88108,2262340050.87893,1321128256.26728,1800750617.90998,2558999545.30165,697143273.827385,725877698.693271
543862889.992153,821963291.347024,1364040998.10048,1710006841.86959,2262340050.87893,1319700861.62818,1800750617.90998,2558999545.30165,697143132.925254,688037304.613613
543862889.992153,821952515.201234,1364040998.10048,1676258466.26126,2262332207.63605,1318810631.4605,1800750617.90998,2558999545.30165,697141654.494207,688037304.613613
543198411.945184,821952515.201234,1364023426.51411,1676258466.26126,2261491235.88874,1314835150.34954,1800750617.90998,2449184420.78132,697141654.494207,688037304.613613
542806910.220613,757214451.583751,1165638914.82827,1522926491.96742,2261333521.52195,1203079526.28307,1800750617.90998,2449127513.88331,695497302.018694,688037236.165431
542328150.947061,757214451.583751,1159193201.21691,1522926491.96742,2261273426.41066,1141794412.62068,1800674454.84741,2342412380.7417,695074745.568717,687984409.946659
540973051.365885,757214451.583751,1159193201.21691,1520921754.19982,2261273426.41066,1141658791.02221,1800674454.84741,2322981818.5941,675109571.368372,685238000.832671
534329960.373597,757211335.130624,1159193201.21691,1267166828.08217,2261273426.41066,1141658791.02221,1795858403.62236,2318776631.96834,675106529.167968,681083005.843953
503273624.49395,753375102.546156,1159193201.21691,1267166828.08217,2260956101.45017,1141658791.02221,1794864033.91634,2318776631.96834,675106529.167968,681011822.530223
503273624.49395,753375102.546156,1062372345.52058,1267166828.08217,2260956101.45017,1141658791.02221,1794733984.48239,2318776631.96834,675106529.167968,678159346.749943
406195991.056877,753203048.836962,1062372345.52058,1098032280.61007,2016823008.65439,1141658791.02221,1794733984.48239,2318776631.96834,675106529.167968,678159346.749943
404629601.790971,753203048.836962,1062372345.52058,1097151781.53535,2009371724.09686,1141658791.02221,1703268997.98965,1978892722.71391,674003970.468287,678159346.749943
404629601.790971,613360253.195541,1020782984.12648,1097151781.53535,2009371724.09686,1141658791.02221,1626436569.14136,1978892722.71391,611587811.420535,677549540.579719
404629601.790971,613360253.195541,1020678147.61699,1096807053.89053,1957772964.49437,1141658791.02221,1626436569.14136,1978892722.71391,611461008.411208,677282598.665837
403859126.144041,613360253.195541,1020678147.61699,1096807053.89053,1956735571.05114,1141658791.02221,1603887086.98163,1978815319.66541,611461008.411208,677282598.665837
403859126.144041,576970134.114809,1020678147.61699,1096807053.89053,1956735571.05114,1141658791.02221,1603887086.98163,1921374453.97758,611461008.411208,676364591.09077
403859126.144041,504314924.866267,1020678147.61699,1096304495.40818,1956735571.05114,1141658791.02221,1603887086.98163,1403578986.21896,559783813.353505,676364591.09077
403734906.785886,504314924.866267,1019665676.80912,1087797826.23274,1956735571.05114,896366357.512775,1603860605.88906,1403578986.21896,516636357.63193,676364591.09077
403734906.785886,504314924.866267,986536087.978742,1087797826.23274,1870384161.58262,822059000.4001,1603860605.88906,1326906006.03848,516636357.63193,676364591.09077
401419751.632804,494964241.537769,986536087.978742,1087797826.23274,1870384161.58262,822059000.4001,1603758753.75393,1326906006.03848,516636357.63193,676203779.700944
399274115.511145,494958390.047615,986536087.978742,1083733404.28543,1870272794.44483,822059000.4001,1321097277.84969,1325854995.33981,515841506.385299,676203779.700944
399274115.511145,477078817.894906,984995623.2713,1083680621.51427,1811557063.88917,822059000.4001,1321097277.84969,1325854995.33981,506797454.439845,672878673.292778
377763024.84965,477078817.894906,984995623.2713,909980762.928825,1717393484.56636,822059000.4001,1320631904.60148,1325854995.33981,506243606.668464,672878673.292778
377763024.84965,477078817.894906,984995623.2713,909980762.928825,1714747968.06746,822039971.434539,1320631904.60148,1325854995.33981,506231877.135528,672878673.292778
322603274.49751,467247755.584122,939428391.873059,909033528.898578,1714747968.06746,822039971.434539,1319726824.94026,1325854995.33981,473492822.92887,672878673.292778
312473674.097826,440896970.235328,939428391.873059,909033528.898578,1714747968.06746,822039971.434539,1166170220.9734,1325854995.33981,473492822.92887,672878673.292778
312456106.313441,440896970.235328,937363135.153843,909033528.898578,1714717395.11761,822039971.434539,1158064604.53528,1317602803.52581,473082135.659617,672316319.295399
312456106.313441,440896970.235328,936915905.298612,909033528.898578,1611893954.93633,822026667.737536,1158064604.53528,1317602803.52581,472921566.249059,672316319.295399
312456106.313441,439380742.007934,936915905.298612,909033528.898578,1611795107.62976,817261118.951721,1158064604.53528,1317575351.84933,472921566.249059,672316319.295399
312456106.313441,439380742.007934,779187894.405589,909033528.898578,1611769192.71659,813346049.732443,1095195123.93646,1316002919.85624,472921566.249059,654315895.871761
312456106.313441,439380742.007934,779187894.405589,900675123.327463,1611769192.71659,742239902.92218,1095195123.93646,1314624787.22614,472235363.030383,566171204.851854
