p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
362122188.523955,813949372.767764,1365884608.452,1793374928.07214,2683653512.60268,1825809170.28144,2125806739.88144,3107922857.29526,965224916.481396,1063215920.45054
361298246.087679,813949372.767764,1331439161.89535,1793374928.07214,2678113961.3078,1825809170.28144,2125702980.54563,3105726553.06971,965224916.481396,849529392.342775
361298246.087679,813949372.767764,1329680665.6305,1503530487.78401,2678113961.3078,1744853179.38235,2125702980.54563,3105629216.42048,964703418.699213,849526904.706486
361016324.673885,813287702.38578,1329680665.6305,1503530487.78401,2678113961.3078,1742329072.98139,2125702980.54563,3102972428.88047,963658590.655133,849526904.706486
361016324.673885,813287702.38578,1329680665.6305,1503530487.78401,2333221996.26376,1742329072.98139,2125702980.54563,3091798431.89496,963658590.655133,849526904.706486
360055132.326769,813287702.38578,1196267339.34686,1503530487.78401,2333162495.53999,1619688978.81799,2125702980.54563,2602334050.82584,963658590.655133,849526904.706486
360055132.326769,805561832.338335,1195608685.92269,1495722249.39876,2311503821.41606,1619688978.81799,2125702980.54563,2602334050.82584,935668118.798952,849509369.948576
360055132.326769,805561832.338335,1188673727.17276,1495722249.39876,2308721511.52495,1619688978.81799,2125702980.54563,2602334050.82584,935668118.798952,844726726.251666
360000754.033695,805561832.338335,1181796626.51973,1495722249.39876,2308721511.52495,1619688978.81799,2125702980.54563,2531314525.00113,935668118.798952,842326569.795942
360000754.033695,805561832.338335,1181676982.2153,1493921108.43746,2308721511.52495,1619404914.5635,2121173632.70707,2531314525.00113,935668118.798952,842309029.870578
360000754.033695,805561832.338335,1181676982.2153,1493869473.8374,2306312991.23237,1523836637.46676,2121173632.70707,2531314525.00113,892069883.372532,842309029.870578
359597601.294491,805561832.338335,1181676982.2153,1143222596.8133,2306290871.07671,1523199033.50608,2120331091.84687,2471680024.17553,850027834.850515,842309029.870578
359597601.294491,805517527.386393,1181676982.2153,1143222596.8133,2267542158.11563,1523199033.50608,2083098527.22352,2471680024.17553,850027834.850515,842309029.870578
298655614.014822,805517527.386393,1040140501.33257,1134368715.56742,2267542158.11563,1523199033.50608,1960762686.94473,2471680024.17553,774757017.370616,837985590.055394
298655614.014822,803285907.0949,1040140501.33257,1134368715.56742,2262981206.05938,1452422942.6883,1793005892.8296,2073154294.55837,774757017.370616,836658021.098437
298655614.014822,796041546.039613,1040140501.33257,1011823879.6266,2262981206.05938,1417887297.52887,1793005892.8296,2073154294.55837,759194051.293116,836658021.098437
298655614.014822,783197295.19474,1040140501.33257,1011819832.30709,2041210798.31507,1417887297.52887,1793005892.8296,2071186318.03689,746011061.86301,836652663.14387
298378578.57582,782972917.363108,1040140501.33257,995371044.022707,2041210798.31507,1417887297.52887,1793005892.8296,2071133178.86583,745998239.742921,836652663.14387
298202582.961747,782972917.363108,1001211900.66183,993812343.937857,1989769252.96778,1335451020.89777,1763979297.67978,2071133178.86583,673437689.536405,828283552.188939
298202582.961747,782972917.363108,1000858161.05324,993812343.937857,1799069168.44922,1333213834.67796,1747441626.9287,1905443326.79293,673437689.536405,828283552.188939
298202582.961747,727490183.051623,990294110.589507,993727969.975956,1788491203.28991,1333213834.67796,1747441626.9287,1890537503.07965,673437689.536405,828283552.188939
298202540.621752,727490183.051623,990294110.589507,993727969.975956,1787752308.13702,1320063495.66149,1747441626.9287,1890537503.07965,673437689.536405,827419510.447582
298202540.621752,727490183.051623,990294110.589507,993278447.533499,1787750613.29844,1320063495.66149,1740316897.63299,1890263296.74548,673437689.536405,827082578.078376
298202540.621752,677298365.982128,990154058.456674,992728165.424369,1787750613.29844,1320063495.66149,1644592573.42496,1821043176.42171,673437689.536405,827082578.078376
298202540.621752,676075776.410635,990154058.456674,992728165.424369,1698088726.4134,1320063495.66149,1644592573.42496,1821043176.42171,673437689.536405,827082578.078376
298202540.621752,675024174.824034,874977016.227178,986774385.977548,1519329688.26696,1320063495.66149,1354419306.80498,1821043176.42171,673415675.213335,818401595.027928
297798664.18568,674981064.138368,874977016.227178,907223504.707895,1339200894.31411,1320063495.66149,1350026460.44754,1821043176.42171,673415675.213335,815630686.128285
297770396.941115,559623640.946368,874625195.469599,855882949.787533,1339200894.31411,918748166.120675,1348976765.46023,1821043176.42171,673415675.213335,815630686.128285
297743366.072853,559623640.946368,874625195.469599,855882949.787533,1339200894.31411,915846071.790337,1315147168.40788,1766544773.52904,673415675.213335,815630686.128285
297743366.072853,559623640.946368,874625195.469599,855221751.96947,1338877164.18904,915846071.790337,1315147168.40788,1766544773.52904,577236921.341371,805748858.256005
297743366.072853,559623640.946368,874625195.469599,855221751.96947,1336432291.16252,915846071.790337,1315147168.40788,1766544773.52904,577236921.341371,805748858.256005
297687160.011424,559456327.148206,874625195.469599,846023576.830656,1336413359.19463,915846071.790337,1315042036.98556,1765810534.90679,577236921.341371,805748858.256005
297687160.011424,559456327.148206,870987314.181145,827379377.346084,1336413359.19463,781888024.69456,1315042036.98556,1765644717.68922,577236921.341371,698277963.65708
